file	line_num	entity	context_before	word	context_after	group
006_秦始皇本纪.tagged.md	39	质子	[5.2] 〖'秦〗	质子	归自〖'赵〗，〖'赵〗太子出归国。	kin_relation
006_秦始皇本纪.tagged.md	127	布衣	〘狼〙心，居约易出人下，得志亦轻食人。我	布衣	，然见我常身自下我。诚使〖'秦〗王得志於	social_roles
006_秦始皇本纪.tagged.md	243	寡人	[34.2] 	寡人	以为善，庶几息兵革。	social_roles
006_秦始皇本纪.tagged.md	245	质子	〗王使其〖;相〗〖@李牧〗来约盟，故归其	质子	。已而倍盟，反我〖=太原〗，故兴兵诛之，	kin_relation
006_秦始皇本纪.tagged.md	257	寡人	> "	寡人	以眇眇之身，兴兵诛暴乱，赖〖^宗庙〗之灵	social_roles
006_秦始皇本纪.tagged.md	303	子弟	> "〖'周〗〖;文王〗、〖;武王〗所封	子弟	同姓甚众，然后属疏远，相攻击如仇雠，诸侯	kin_relation
006_秦始皇本纪.tagged.md	309	侯王	> "〔天下〕共苦战斗不休，以有	侯王	。赖〖^宗庙〗，〔天下〕初定，又复立国，	ruler_subject
006_秦始皇本纪.tagged.md	561	匹夫	功臣〗，自为枝辅。今陛下有海内，而子弟为	匹夫	，卒有〖@田常〗、〖;六卿〗之臣，无辅拂	social_roles
006_秦始皇本纪.tagged.md	561	子弟	闻〖'殷〗、〖'周〗之王〖%千馀岁〗，封	子弟	〖#功臣〗，自为枝辅。今陛下有海内，而子	kin_relation
006_秦始皇本纪.tagged.md	561	子弟	弟〖#功臣〗，自为枝辅。今陛下有海内，而	子弟	为匹夫，卒有〖@田常〗、〖;六卿〗之臣，	kin_relation
006_秦始皇本纪.tagged.md	561	忠臣	闻也。今〖@青臣〗又面谀以重陛下之过，非	忠臣	。"	minister_type
006_秦始皇本纪.tagged.md	627	人主	仙者〛常弗遇，类物有害之者。〖^方中〗，	人主	时为微行以辟恶〚鬼〛，恶〚鬼〛辟，〚真人	ruler_subject
006_秦始皇本纪.tagged.md	629	人主	[68.2] 	人主	所居而〖#人臣〗知之，则害於神。〚真人〛	ruler_subject
006_秦始皇本纪.tagged.md	820	先帝	> "	先帝	后宫非有子者，出焉不宜。"	ruler_subject
006_秦始皇本纪.tagged.md	850	先帝	> "朕年少，初即位，黔首未集附。	先帝	巡行郡县，以示强，威服海内。今晏然不巡行	ruler_subject
006_秦始皇本纪.tagged.md	854	先帝	@始皇〗所立刻石，石旁著大臣从者名，以章	先帝	成功盛德焉。	ruler_subject
006_秦始皇本纪.tagged.md	878	先帝	> "臣固愿言而未敢也。	先帝	之大臣，皆〔天下〕累世名〖#贵人〗也，积	ruler_subject
006_秦始皇本纪.tagged.md	920	先帝	> "	先帝	为〖=咸阳〗朝廷小，故营〖=阿房宫〗为室	ruler_subject
006_秦始皇本纪.tagged.md	920	先帝	〖@大毕〗，今释〖=阿房宫〗弗就，则是章	先帝	举事过也。"	ruler_subject
006_秦始皇本纪.tagged.md	936	少年	[98.3] 〖=山东〗郡县	少年	苦〖'秦〗吏，皆杀其〖;守〗、〖;尉〗、	moral_type
006_秦始皇本纪.tagged.md	936	侯王	令〗、〖;丞〗反，以应〖@陈涉〗，相立为	侯王	，〖^合从〗西乡，名为伐〖'秦〗，不可胜	ruler_subject
006_秦始皇本纪.tagged.md	974	先帝	> "	先帝	临制〔天下〕久，故群臣不敢为非，进邪说。	ruler_subject
006_秦始皇本纪.tagged.md	992	先帝	[103.3] 且	先帝	起诸侯，兼〔天下〕，〔天下〕已定，外攘〖	ruler_subject
006_秦始皇本纪.tagged.md	992	先帝	边竟，作〖^宫室〗以章〖@得意〗，而君观	先帝	功业有绪。	ruler_subject
006_秦始皇本纪.tagged.md	994	先帝	%二年〗之间，群盗并起，君不能禁，又欲罢	先帝	之所为，是上毋以报先帝，次不为朕尽忠力，	ruler_subject
006_秦始皇本纪.tagged.md	994	先帝	，君不能禁，又欲罢先帝之所为，是上毋以报	先帝	，次不为朕尽忠力，何以在位？"	ruler_subject
006_秦始皇本纪.tagged.md	1172	匹夫	[120.2] 诸侯起於	匹夫	，以利合，非有素王之行也。其交未亲，其下	social_roles
006_秦始皇本纪.tagged.md	1186	忠臣	[122.3] 是以三主失道，	忠臣	不敢谏，智士不敢谋，〔天下〕已乱，奸不上	minister_type
006_秦始皇本纪.tagged.md	1264	王者	[134.2] 曰：近古之无	王者	久矣。〖'周〗室卑微，〖^五霸〗既殁，令	ruler_subject
006_秦始皇本纪.tagged.md	1280	先帝	而任忠贤，臣主一心而忧海内之患，缟素而正	先帝	之过，裂地分民以封〖#功臣〗之后，建国立	ruler_subject
007_项羽本纪.tagged.md	15	少年	### 	少年	项籍	moral_type
007_项羽本纪.tagged.md	29	宾客	，〖@项梁〗常为主办，阴以〖^兵法〗部勒	宾客	及子弟，以是知其能。	guest_retainer
007_项羽本纪.tagged.md	29	子弟	项梁〗常为主办，阴以〖^兵法〗部勒宾客及	子弟	，以是知其能。	kin_relation
007_项羽本纪.tagged.md	81	豪杰	[11.1] 〖@梁〗部署〖=吴中〗	豪杰	为〖;校尉〗、〖;候〗、〖;司马〗。	moral_type
007_项羽本纪.tagged.md	109	长者	=东阳〗〖;令史〗，居县中，素信谨，称为	长者	。	social_roles
007_项羽本纪.tagged.md	111	少年	[15.2] 〖=东阳〗	少年	杀其令，相聚数〖%千人〗，欲置长，无適用	moral_type
007_项羽本纪.tagged.md	115	少年	[16.1] 	少年	欲立〖@婴〗便为王，异军苍头特起。	moral_type
007_项羽本纪.tagged.md	555	壮士	> "	壮士	，赐之〖*卮酒〗。"	scholar_warrior
007_项羽本纪.tagged.md	567	壮士	> "	壮士	，能复饮乎？"	scholar_warrior
007_项羽本纪.tagged.md	675	侯王	92.1] 乃分〔天下〕，立诸〖;将〗为	侯王	。	ruler_subject
007_项羽本纪.tagged.md	1059	辩士	> "此〔天下〕	辩士	，所居倾国，故号为〖;平国君〗。"	scholar_warrior
007_项羽本纪.tagged.md	1123	壮士	.1] 於是〖@项王〗乃上〘马〙骑，麾下	壮士	骑从者八〖%百馀〗人，直夜溃围南出，驰走	scholar_warrior
007_项羽本纪.tagged.md	1179	父兄	渡〖=江〗而西，今无一人还，纵〖=江东〗	父兄	怜而王我，我何面目见之？"	kin_relation
007_项羽本纪.tagged.md	1179	子弟	之亡我，我何渡为！且〖@籍〗与〖=江东〗	子弟	八〖%千人〗渡〖=江〗而西，今无一人还，	kin_relation
007_项羽本纪.tagged.md	1185	长者	> "吾知公	长者	。吾骑此〘马〙〖%五岁〗，所当无敌，尝〖	social_roles
007_项羽本纪.tagged.md	1219	父兄	节，乃持〖@项王〗头视〖=鲁〗，〖=鲁〗	父兄	乃降。	kin_relation
007_项羽本纪.tagged.md	1236	王侯	遂将五诸侯灭〖'秦〗，分裂〔天下〕，而封	王侯	，政由〖@羽〗出，号为"〖#霸王〗"，位	ruler_subject
007_项羽本纪.tagged.md	1238	王侯	背关怀〖'楚〗，放逐〖@义帝〗而自立，怨	王侯	叛己，难矣。自矜功伐，奋其私智而不师古，	ruler_subject
008_高祖本纪.tagged.md	37	丈夫	> "嗟乎，大	丈夫	当如此也！"	social_roles
008_高祖本纪.tagged.md	43	豪桀	[5.2] 〖=沛〗中	豪桀	吏闻令有重客，皆往贺。	moral_type
008_高祖本纪.tagged.md	131	壮士	[8.3] 徒中	壮士	原从者〖%十馀人〗。	scholar_warrior
008_高祖本纪.tagged.md	141	壮士	> "	壮士	行，何畏！"	scholar_warrior
008_高祖本纪.tagged.md	199	子弟	 "君为〖'秦〗吏，今欲背之，率〖=沛〗	子弟	，恐不听。原君召诸亡在外者，可得〖%数百	kin_relation
008_高祖本纪.tagged.md	213	父老	〖@刘季〗乃书〖*帛〗射城上，谓〖=沛〗	父老	曰：	kin_relation
008_高祖本纪.tagged.md	215	子弟	并起，今屠〖=沛〗。〖=沛〗今共诛令，择	子弟	可立者立之，以应诸侯，则家室完。不然，父	kin_relation
008_高祖本纪.tagged.md	215	父老	> "〔天下〕苦〖'秦〗久矣。今	父老	虽为〖=沛〗令守，诸侯并起，今屠〖=沛〗	kin_relation
008_高祖本纪.tagged.md	217	子弟	[11.5] 父老乃率	子弟	共杀〖=沛〗令，开〖*城门〗迎〖@刘季〗	kin_relation
008_高祖本纪.tagged.md	217	父老	[11.5] 	父老	乃率子弟共杀〖=沛〗令，开〖*城门〗迎〖	kin_relation
008_高祖本纪.tagged.md	221	父兄	善，壹败涂地。吾非敢自爱，恐能薄，不能完	父兄	子弟。此大事，原更相推择可者。"	kin_relation
008_高祖本纪.tagged.md	221	子弟	壹败涂地。吾非敢自爱，恐能薄，不能完父兄	子弟	。此大事，原更相推择可者。"	kin_relation
008_高祖本纪.tagged.md	225	父老	[11.8] 诸	父老	皆曰：	kin_relation
008_高祖本纪.tagged.md	235	少年	[11.12] 於是	少年	豪吏如〖@萧〗、〖@曹〗、〖@樊哙〗等皆	moral_type
008_高祖本纪.tagged.md	235	子弟	〗、〖@曹〗、〖@樊哙〗等皆为收〖=沛〗	子弟	二〖%三千人〗，攻〖=胡陵〗、〖=方与〗	kin_relation
008_高祖本纪.tagged.md	267	子弟	13] 〖@沛公〗怨〖@雍齿〗与〖=丰〗	子弟	叛之，闻〖=东阳〗〖;甯君〗、〖@秦嘉〗	kin_relation
008_高祖本纪.tagged.md	349	长者	，前〖@陈王〗、〖@项梁〗皆败。不如更遣	长者	扶义而西，告谕〖'秦〗父兄。〖'秦〗父兄	social_roles
008_高祖本纪.tagged.md	349	父兄	皆败。不如更遣长者扶义而西，告谕〖'秦〗	父兄	。〖'秦〗父兄苦其主久矣，今诚得长者往，	kin_relation
008_高祖本纪.tagged.md	349	长者	秦〗父兄。〖'秦〗父兄苦其主久矣，今诚得	长者	往，毋侵暴，宜可下。今〖@项羽〗僄悍，今	social_roles
008_高祖本纪.tagged.md	349	父兄	长者扶义而西，告谕〖'秦〗父兄。〖'秦〗	父兄	苦其主久矣，今诚得长者往，毋侵暴，宜可下	kin_relation
008_高祖本纪.tagged.md	349	长者	项羽〗僄悍，今不可遣。独〖@沛公〗素宽大	长者	，可遣。"	social_roles
008_高祖本纪.tagged.md	371	长者	"诸将过此者多，吾视〖@沛公〗〖;大人〗	长者	。"	social_roles
008_高祖本纪.tagged.md	379	长者	> "足下必欲诛无道〖'秦〗，不宜踞见	长者	。"	social_roles
008_高祖本纪.tagged.md	469	父老	[23.7] 召诸县	父老	豪桀曰：	kin_relation
008_高祖本纪.tagged.md	469	豪桀	[23.7] 召诸县父老	豪桀	曰：	moral_type
008_高祖本纪.tagged.md	471	父老	> "	父老	苦〖'秦〗〖^苛法〗久矣，〖^诽谤〗者族	kin_relation
008_高祖本纪.tagged.md	471	父老	侯约，先入关者王之，吾当王〖=关中〗。与	父老	约，〖^法三章〗耳：杀人者死，伤人及盗抵	kin_relation
008_高祖本纪.tagged.md	471	父老	^法〗。诸吏人皆案堵如故。凡吾所以来，为	父老	除害，非有所侵暴，无恐！且吾所以还军〖=	kin_relation
008_高祖本纪.tagged.md	889	子弟	'秦〗降王〖@子婴〗，罪五。诈阬〖'秦〗	子弟	〖=新安〗二十万，王其将，罪六。〖@项羽	kin_relation
008_高祖本纪.tagged.md	903	父老	.1] 病愈，西入关，至〖=栎阳〗，存问	父老	，置酒，枭故〖;塞王〗〖@欣〗头〖=栎阳	kin_relation
008_高祖本纪.tagged.md	973	王侯	细，诛暴逆，平定四海，有功者辄裂地而封为	王侯	。大王不尊号，皆疑不信。臣等以死守之。"	ruler_subject
008_高祖本纪.tagged.md	983	侯王	### 封诸	侯王		ruler_subject
008_高祖本纪.tagged.md	1057	人主	也；〖@太公〗虽父，〖#人臣〗也。柰何令	人主	拜〖#人臣〗！如此，则威重不行。"	ruler_subject
008_高祖本纪.tagged.md	1065	人主	> "〖;帝〗，	人主	也，柰何以我乱〔天下〕〖^法〗！"	ruler_subject
008_高祖本纪.tagged.md	1081	子弟	'齐〗得十二焉。故此东西〖'秦〗也。非亲	子弟	，莫可使王〖'齐〗矣。"	kin_relation
008_高祖本纪.tagged.md	1243	父兄	[81.6] 谓〖=沛〗	父兄	曰：	kin_relation
008_高祖本纪.tagged.md	1247	父兄	[81.7] 〖=沛〗	父兄	诸母故人日乐饮极驩，道旧故为笑乐。	kin_relation
008_高祖本纪.tagged.md	1253	父兄	> "吾人众多，	父兄	不能给。"	kin_relation
008_高祖本纪.tagged.md	1261	父兄	[81.13] 〖=沛〗	父兄	皆顿首曰：	kin_relation
008_高祖本纪.tagged.md	1269	父兄	[81.15] 〖=沛〗	父兄	固请，乃并复〖=丰〗，比〖=沛〗。	kin_relation
008_高祖本纪.tagged.md	1309	布衣	> "吾以	布衣	提〖^三尺〗〖*剑〗取〔天下〕，此非〔天	social_roles
008_高祖本纪.tagged.md	1390	豪杰	啸命	豪杰	，奋发材雄。	moral_type
009_吕太后本纪.tagged.md	268	王侯	"诸〖&吕〗用事兮〖&刘氏〗危，迫胁	王侯	兮彊授我妃。我妃既妒兮诬我以恶，谗女乱国	ruler_subject
009_吕太后本纪.tagged.md	268	忠臣	既妒兮诬我以恶，谗女乱国兮上曾不寤。我无	忠臣	兮何故弃国？自决中野兮〖!苍天〗举直！于	minister_type
009_吕太后本纪.tagged.md	307	妇人	[27.6] 〖#太后〗闻之，以为王用	妇人	弃〖^宗庙〗礼，废其嗣。	social_roles
009_吕太后本纪.tagged.md	345	王者	已定〔天下〕，与大臣约，曰'非〖&刘氏〗	王者	，〔天下〕共击之'。今〖&吕氏〗王，大臣	ruler_subject
009_吕太后本纪.tagged.md	347	侯王	3] 〖%辛巳〗，〖@高后〗崩，遗诏赐诸	侯王	各〖*千金〗，〖#将相〗〖#列侯〗郎吏皆	ruler_subject
009_吕太后本纪.tagged.md	375	侯王	[36.1] 〖;齐王〗乃遗诸	侯王	书曰：	ruler_subject
009_吕太后本纪.tagged.md	378	忠臣	三赵王，灭梁、赵、燕以王诸吕，分齐为四。	忠臣	进谏，上惑乱弗听。今〗高后〖@崩，而帝春	minister_type
009_吕太后本纪.tagged.md	378	忠臣	。而诸吕又擅自尊官，聚兵严威，劫〗列侯@	忠臣	，矫制以令〔天下〕，〖^宗庙〗所以危。寡	minister_type
009_吕太后本纪.tagged.md	378	寡人	臣，矫制以令〔天下〕，〖^宗庙〗所以危。	寡人	率兵入诛不当为王者。"	social_roles
009_吕太后本纪.tagged.md	378	王者	〕，〖^宗庙〗所以危。寡人率兵入诛不当为	王者	。"	ruler_subject
010_孝文本纪.tagged.md	32	豪桀	"群臣之议皆非也。夫〖'秦〗失其政，诸侯	豪桀	并起，人人自以为得之者以〖%万数〗，然卒	moral_type
010_孝文本纪.tagged.md	47	寡人	> "	寡人	固已为王矣，又何王？"	social_roles
010_孝文本纪.tagged.md	85	王者	> "所言公，公言之。所言私，	王者	不受私。"	ruler_subject
010_孝文本纪.tagged.md	105	寡人	> "奉〖;高帝〗〖^宗庙〗，重事也。	寡人	不佞，不足以称〖^宗庙〗。原请〖;楚王〗	social_roles
010_孝文本纪.tagged.md	105	寡人	足以称〖^宗庙〗。原请〖;楚王〗计宜者，	寡人	不敢当。"	social_roles
010_孝文本纪.tagged.md	117	寡人	> "宗室〖#将相〗王〖#列侯〗以为莫宜	寡人	，寡人不敢辞。"	social_roles
010_孝文本纪.tagged.md	117	寡人	宗室〖#将相〗王〖#列侯〗以为莫宜寡人，	寡人	不敢辞。"	social_roles
010_孝文本纪.tagged.md	202	侯王	南王〗，弟也，秉德以陪朕。岂为不豫哉！诸	侯王	宗室昆弟有〖#功臣〗，多贤及有德义者，若	ruler_subject
010_孝文本纪.tagged.md	208	侯王	平〔天下〕，建诸侯，为帝者〖;太祖〗。诸	侯王	及〖#列侯〗始受国者皆亦为其国祖。子孙继	ruler_subject
010_孝文本纪.tagged.md	274	人主	"朕闻之，天生蒸民，为之置君以养治之。	人主	不德，布政不均，则天示之以菑，以诫不治。	ruler_subject
010_孝文本纪.tagged.md	285	侯王	〖%三月〗，〖;有司〗请立〖#皇子〗为诸	侯王	。	ruler_subject
010_孝文本纪.tagged.md	487	人主	1] 〖%十七年〗，得〖*玉杯〗，刻曰"	人主	延寿"。	ruler_subject
010_孝文本纪.tagged.md	527	先帝	> "百〖*金〗中民十家之产，吾奉	先帝	〖^宫室〗，常恐羞之，何以台为！"	ruler_subject
010_孝文本纪.tagged.md	556	先帝	安宁，靡有兵革。朕既不敏，常畏过行，以羞	先帝	之遗德；维年之久长，惧于不终。今乃幸以天	ruler_subject
010_孝文本纪.tagged.md	582	侯王	宜各为〖;孝文皇帝〗立〖^太宗之庙〗。诸	侯王	〖#列侯〗使者侍祠〖#天子〗，岁献祖宗之	ruler_subject
011_孝景本纪.tagged.md	273	侯王	[27.1] 遗诏赐诸	侯王	以下至民为父後爵一级，〔天下〕户百钱。	ruler_subject
012_孝武本纪.tagged.md	461	人主	> "〚仙者〛非有求	人主	，人主求之。其道非少宽假，神不来。言神事	ruler_subject
012_孝武本纪.tagged.md	461	人主	> "〚仙者〛非有求人主，	人主	求之。其道非少宽假，神不来。言神事，事如	ruler_subject
013_三代世表.tagged.md	88	布衣	[7.5] "人不知，以为氾从	布衣	匹夫起耳。夫布衣匹夫安能无故而起王〔天下	social_roles
013_三代世表.tagged.md	88	布衣	5] "人不知，以为氾从布衣匹夫起耳。夫	布衣	匹夫安能无故而起王〔天下〕乎？其有〔天命	social_roles
013_三代世表.tagged.md	88	匹夫	[7.5] "人不知，以为氾从布衣	匹夫	起耳。夫布衣匹夫安能无故而起王〔天下〕乎	social_roles
013_三代世表.tagged.md	88	匹夫	 "人不知，以为氾从布衣匹夫起耳。夫布衣	匹夫	安能无故而起王〔天下〕乎？其有〔天命〕然	social_roles
013_三代世表.tagged.md	102	王者	.5] "行〖^道德〗岂可以忽乎哉！人君	王者	举而观之。"	ruler_subject
014_十二诸侯年表.tagged.md	302	妇人	怒，归去。  |  八使〖@郤克〗使齐，	妇人	笑之，克怒归。  |  十二  |  二	social_roles
014_十二诸侯年表.tagged.md	355	幸臣	冬，如楚。  |  六公欲杀〖#公卿〗立	幸臣	，〖#公卿〗诛幸臣，公恐，出奔齐。  |	minister_type
014_十二诸侯年表.tagged.md	355	幸臣	 六公欲杀〖#公卿〗立幸臣，〖#公卿〗诛	幸臣	，公恐，出奔齐。  |  九  |	minister_type
015_六国年表.tagged.md	121	君主	  |  九  |  八。城堑河濒。初以	君主	妻河。  |  八。复城〖=少梁〗。  	ruler_subject
015_六国年表.tagged.md	216	丈夫	 十三。秦取〖=曲沃〗。〖=平周〗女化为	丈夫	。  |  十一  |  四。与韩会〖=	social_roles
015_六国年表.tagged.md	329	庶人	至戏，〖@章邯〗击却之。出〖@卫君〗角为	庶人	。  |    |    |    | 	social_roles
016_秦楚之际月表.tagged.md	20	豪桀	也，於是无尺土之封，堕坏名城，销锋镝，鉏	豪桀	，维〖%万世〗之安。	moral_type
017_汉兴以来诸侯王年表.tagged.md	1	侯王	# [0] 汉兴以来诸	侯王	年表	ruler_subject
017_汉兴以来诸侯王年表.tagged.md	23	王者	2.2] 〖@高祖〗末年，非〖&刘氏〗而	王者	，若无功上所不置而侯者，〔天下〕共诛之。	ruler_subject
017_汉兴以来诸侯王年表.tagged.md	25	子弟	[2.3] 〖@高祖〗	子弟	同姓为王者九国，虽独〖'长沙〗异姓，而〖	kin_relation
017_汉兴以来诸侯王年表.tagged.md	25	王者	[2.3] 〖@高祖〗子弟同姓为	王者	九国，虽独〖'长沙〗异姓，而〖#功臣〗侯	ruler_subject
017_汉兴以来诸侯王年表.tagged.md	41	子弟	观於上古，然後加惠，使诸侯得〖^推恩〗分	子弟	国邑，故〖'齐〗分为七，〖'赵〗分为六，	kin_relation
017_汉兴以来诸侯王年表.tagged.md	41	庶子	〗分为五，〖'淮南〗分三，及〖#天子〗支	庶子	为王，〖;王子〗支庶为侯，〖%百有馀〗焉	kin_relation
018_高祖功臣侯者年表.tagged.md	66	嗣子	氏〗。  |  二。〖%三年〗，侯缠卒。	嗣子	睢有罪，国除。  |    |    |	kin_relation
018_高祖功臣侯者年表.tagged.md	83	嗣子	八  |  十六。后〖%元年〗，侯武薨。	嗣子	奇反，不得置后，国除。  |    | 	kin_relation
018_高祖功臣侯者年表.tagged.md	101	庶人	 二。〖%三年〗，侯越坐匿【死罪】，免为	庶人	，国除。  |    |    |   	social_roles
018_高祖功臣侯者年表.tagged.md	182	侯王	。十〖%二年〗〖%十二月〗〖%丁亥〗，圉	侯王	周〖%元年〗。  |  七  |  二。	ruler_subject
019_惠景间侯者年表.tagged.md	8	王者	[1.2] 〖'长沙〗	王者	，着〖^令甲〗，称其忠焉。	ruler_subject
019_惠景间侯者年表.tagged.md	10	王者	高祖〗定〔天下〕，〖#功臣〗非同姓疆土而	王者	八国。	ruler_subject
020_建元以来侯者年表.tagged.md	33	庶人	骑将军〗期，后，畏懦，【当斩】，【赎为】	庶人	，国除。  |    |    |   	social_roles
020_建元以来侯者年表.tagged.md	98	幼主	〗谋反者马何罗等功侯，三〖%千户〗。中辅	幼主	〖@昭帝〗，为〖;大将军〗。谨信，用事擅	ruler_subject
020_建元以来侯者年表.tagged.md	104	庶人	人所上书言，【系狱】【当死】，会赦，出为	庶人	，国除。  |    |    |   	social_roles
020_建元以来侯者年表.tagged.md	109	庶人	父恽故出恶言，【系狱】【当死】，得免，为	庶人	，国除。  |    |    |   	social_roles
020_建元以来侯者年表.tagged.md	110	人主	〗扶持乃能行。然〖;公卿大臣〗议，以为为	人主	师，当以为相。以元平〖%元年〗代杨敞为〖	ruler_subject
020_建元以来侯者年表.tagged.md	115	侯王	〖;光禄大夫〗，秩〖;中二千石〗。坐受诸	侯王	〖*金钱〗财。漏泄中事，诛死，国除。  	ruler_subject
020_建元以来侯者年表.tagged.md	123	妇人	@成王〗孙，嫉妒，绞杀侍婢四十余人，盗断	妇人	初产子臂膝以为媚道。为人所上书言，论〖^	social_roles
021_建元已来王子侯者年表.tagged.md	7	子弟	> "诸侯王或欲推私恩分	子弟	邑者，令各条上，朕且临定其号名。"	kin_relation
021_建元已来王子侯者年表.tagged.md	7	侯王	> "诸	侯王	或欲推私恩分子弟邑者，令各条上，朕且临定	ruler_subject
022_汉兴以来将相名臣年表.tagged.md	1	名臣	# [0] 汉兴以来将相	名臣	年表	minister_type
022_汉兴以来将相名臣年表.tagged.md	6	名臣	@太史公〗曰：〖'汉〗兴以来，〖#将相〗	名臣	，〖#功臣〗侯表载之矣。	minister_type
022_汉兴以来将相名臣年表.tagged.md	49	侯王	r37] 170  |  十  |  诸	侯王	皆至〖=长安〗。  |  七  |   	ruler_subject
022_汉兴以来将相名臣年表.tagged.md	193	侯王	卯〗，史丹为〖;左将军〗，〖;太仆〗平安	侯王	章为〖;右将军〗。  |    |	ruler_subject
022_汉兴以来将相名臣年表.tagged.md	198	侯王	〖%乙丑〗，〖;右将军〗〖;光禄勋〗平安	侯王	章卒。  |  〖%闰月〗〖%壬戌〗，永	ruler_subject
022_汉兴以来将相名臣年表.tagged.md	205	名臣	编次〖#将相〗	名臣	，年表颇详。	minister_type
023_礼书.tagged.md	181	王者	[19.1] 故	王者	天〖;太祖〗，诸侯不敢怀，〖;大夫〗〖;	ruler_subject
024_乐书.tagged.md	93	王者	> "凡	王者	作〖^乐〗，上以承祖宗，下以化兆民。今陛	ruler_subject
024_乐书.tagged.md	93	先帝	陛下得〘马〙，诗以为歌，协於〖^宗庙〗，	先帝	百姓岂能知其音邪？"	ruler_subject
024_乐书.tagged.md	191	寡人	> "	寡人	老矣，所好者音也，原遂闻之。"	social_roles
025_律书.tagged.md	7	王者	[1.1] 	王者	制事立法，物度轨则，壹禀於〖^六律〗，〖	ruler_subject
025_律书.tagged.md	80	先帝	器，虽克所原，动亦秏病，谓百姓远方何？又	先帝	知劳民不可烦，故不以为意。朕岂自谓能？今	ruler_subject
026_历书.tagged.md	29	王者	[1.2.1] 	王者	易姓受命，必慎始初，改〖^正朔〗，易〖^	ruler_subject
026_历书.tagged.md	65	王者	[2.1.13] 由是观之，	王者	所重也。	ruler_subject
026_历书.tagged.md	79	子弟	〗〖;执政〗，史不记时，君不告朔，故畴人	子弟	分散，或在〖~诸夏〗，或在〖~夷狄〗，是	kin_relation
027_天官书.tagged.md	27	王者	守〖!角〗，则有战。〖!房〗、〖!心〗，	王者	恶之也。	ruler_subject
027_天官书.tagged.md	93	人主	，国有德厚。其角动，乍小乍大，若色数变，	人主	有忧。	ruler_subject
027_天官书.tagged.md	101	丈夫	还至，虽大当小；久而至，当小反大。其南为	丈夫	，北为女子丧。若角动绕环之，及乍前乍後，	social_roles
027_天官书.tagged.md	137	侯王	。日方南金居其南，日方北金居其北，曰赢，	侯王	不宁，用兵进吉退凶。日方南金居其北，日方	ruler_subject
027_天官书.tagged.md	137	侯王	。日方南金居其北，日方北金居其南，曰缩，	侯王	有忧，用兵退吉进凶。用兵象〖!太白〗：〖	ruler_subject
027_天官书.tagged.md	167	侯王	抱为和，背不和，为分离相去。直为自立，立	侯王	；杀将。负且戴，有喜。围在中，中胜；在外	ruler_subject
027_天官书.tagged.md	211	王者	 〖!蚩尤之旗〗，类彗而後曲，象旗。见则	王者	征伐四方。	ruler_subject
