file	line_num	entity	source_type	context_before	tag_text	context_after	decision
049_外戚世家.tagged.md	38	窦皇后	official	[5.2] 	〖;窦皇后〗	亲蚤卒，葬〖=观津〗。於是〖;薄太后〗乃诏〖;有司〗，追尊〖;窦后〗父为〖;安成	skip
049_外戚世家.tagged.md	42	窦皇后	official	[6.1] 	〖;窦皇后〗	兄〖;窦长君〗，弟曰〖@窦广国〗，字〖;少君〗。〖;少君〗年〖%四五岁〗时，家贫	skip
049_外戚世家.tagged.md	42	窦皇后	official	尽压杀卧者，〖;少君〗独得脱，不死。自卜〖%数日〗当为侯，从其家之〖=长安〗。闻	〖;窦皇后〗	新立，家在〖=观津〗，姓〖&窦氏〗。〖@广国〗去时虽小，识其县名及姓，又常与其姊	skip
049_外戚世家.tagged.md	42	窦皇后	official	〗。〖@广国〗去时虽小，识其县名及姓，又常与其姊采〘桑〙堕，用为符信，上书自陈。	〖;窦皇后〗	言之於〖;文帝〗，召见，问之，具言其故，果是。又复问他何以为验？对曰："姊去我西	skip
049_外戚世家.tagged.md	46	窦太后	official	武侯〗。〖;长君〗前死，封其子〖@彭祖〗为〖;南皮侯〗。〖'吴〗、〖'楚〗反时，	〖;窦太后〗	从昆弟子〖@窦婴〗，任侠自喜，将兵，以军功为〖;魏其侯〗。〖&窦氏〗凡〖%三人〗	skip
049_外戚世家.tagged.md	46	窦皇后	official	[6.3] 	〖;窦皇后〗	病，失明。〖;文帝〗幸〖=邯郸〗〖;慎夫人〗、〖;尹姬〗，皆毋子。〖@孝文帝〗崩	skip
049_外戚世家.tagged.md	48	窦太后	official	[6.4] 	〖;窦太后〗	好〚黄帝〛、〚老子〛言，帝及〖#太子〗诸〖@窦〗不得不读〚黄帝〛、〚老子〛，尊其	skip
049_外戚世家.tagged.md	50	窦太后	official	[6.5] 	〖;窦太后〗	後〖;孝景帝〗〖%六岁〗崩，合葬〖=霸陵〗。遗诏尽以〖=东宫〗〖*金钱〗财物赐〖	skip
049_外戚世家.tagged.md	54	王太后	official	[7.1] 	〖;王太后〗	，〖=槐里〗人，母曰〖;臧兒〗。〖;臧兒〗者，故〖;燕王臧荼〗孙也。〖;臧兒〗嫁	skip
049_外戚世家.tagged.md	60	薄太后	official	[8.1] 〖@景帝〗为〖#太子〗时，	〖;薄太后〗	以〖&薄氏〗女为〖#妃〗。及〖@景帝〗立，立〖#妃〗曰〖;薄皇后〗。〖#皇后〗毋	skip
049_外戚世家.tagged.md	60	薄太后	official	〗女为〖#妃〗。及〖@景帝〗立，立〖#妃〗曰〖;薄皇后〗。〖#皇后〗毋子，毋宠。	〖;薄太后〗	崩，废〖;薄皇后〗。	skip
049_外戚世家.tagged.md	60	薄皇后	official	〖#太子〗时，〖;薄太后〗以〖&薄氏〗女为〖#妃〗。及〖@景帝〗立，立〖#妃〗曰	〖;薄皇后〗	。〖#皇后〗毋子，毋宠。〖;薄太后〗崩，废〖;薄皇后〗。	skip
049_外戚世家.tagged.md	60	薄皇后	official	〖@景帝〗立，立〖#妃〗曰〖;薄皇后〗。〖#皇后〗毋子，毋宠。〖;薄太后〗崩，废	〖;薄皇后〗	。	skip
049_外戚世家.tagged.md	74	王太后	official	2] 〖@景帝〗十三男，一男为帝，十二男皆为王。而〖;兒姁〗早卒，其四子皆为王。	〖;王太后〗	长女号日〖;平阳公主〗，次为〖;南宫公主〗，次为〖;林虑公主〗。	skip
049_外戚世家.tagged.md	74	平阳公主	official	男，一男为帝，十二男皆为王。而〖;兒姁〗早卒，其四子皆为王。〖;王太后〗长女号日	〖;平阳公主〗	，次为〖;南宫公主〗，次为〖;林虑公主〗。	skip
049_外戚世家.tagged.md	76	王太后	official	邑二〔百家〕。及〖;平原君〗卒，从〖;田氏〗葬〖=长陵〗，置园比〖;共侯〗园。而	〖;王太后〗	後〖;孝景帝〗〖%十六岁〗，以〖%元朔四年〗崩，合葬〖=阳陵〗。〖;王太后〗家凡	skip
049_外戚世家.tagged.md	76	王太后	official	。而〖;王太后〗後〖;孝景帝〗〖%十六岁〗，以〖%元朔四年〗崩，合葬〖=阳陵〗。	〖;王太后〗	家凡〖%三人〗为侯。	skip
049_外戚世家.tagged.md	80	卫皇后	official	[11.1] 	〖;卫皇后〗	字〖;子夫〗，生微矣。盖其家号曰〖&卫氏〗，出〖;平阳侯〗邑。〖;子夫〗为〖;平	skip
049_外戚世家.tagged.md	84	陈皇后	official	#妃〗立为〖#皇后〗，姓〖&陈氏〗，无子。上之得为嗣，〖#大长公主〗有力焉，以故	〖;陈皇后〗	骄贵。闻〖;卫子夫〗大幸，恚，几死者数矣。上愈怒。〖;陈皇后〗挟妇人媚道，其事颇	skip
049_外戚世家.tagged.md	84	陈皇后	official	公主〗有力焉，以故〖;陈皇后〗骄贵。闻〖;卫子夫〗大幸，恚，几死者数矣。上愈怒。	〖;陈皇后〗	挟妇人媚道，其事颇觉，於是废〖;陈皇后〗，而立〖;卫子夫〗为〖#皇后〗。	skip
049_外戚世家.tagged.md	84	陈皇后	official	;卫子夫〗大幸，恚，几死者数矣。上愈怒。〖;陈皇后〗挟妇人媚道，其事颇觉，於是废	〖;陈皇后〗	，而立〖;卫子夫〗为〖#皇后〗。	skip
049_外戚世家.tagged.md	86	平阳公主	official	[12.2] 〖;陈皇后〗母〖#大长公主〗，〖@景帝〗姊也，数让〖@武帝〗姊	〖;平阳公主〗	曰："帝非我不得立，已而弃捐吾女，壹何不自喜而倍本乎！"〖;平阳公主〗曰："用无	skip
049_外戚世家.tagged.md	86	平阳公主	official	@武帝〗姊〖;平阳公主〗曰："帝非我不得立，已而弃捐吾女，壹何不自喜而倍本乎！"	〖;平阳公主〗	曰："用无子故废耳。"〖;陈皇后〗求子，与医〖*钱〗凡九千万，然竟无子。	skip
049_外戚世家.tagged.md	86	陈皇后	official	[12.2] 	〖;陈皇后〗	母〖#大长公主〗，〖@景帝〗姊也，数让〖@武帝〗姊〖;平阳公主〗曰："帝非我不得	skip
049_外戚世家.tagged.md	86	陈皇后	official	不得立，已而弃捐吾女，壹何不自喜而倍本乎！"〖;平阳公主〗曰："用无子故废耳。"	〖;陈皇后〗	求子，与医〖*钱〗凡九千万，然竟无子。	skip
049_外戚世家.tagged.md	90	卫皇后	official	〗，击〖~胡〗有功，封为〖;长平侯〗。〖@青〗三子在襁褓中，皆封为〖#列侯〗。及	〖;卫皇后〗	所谓姊〖;卫少兒〗，〖;少兒〗生子〖@霍去病〗，以军功封〖;冠军侯〗，号〖;骠骑	skip
049_外戚世家.tagged.md	90	卫皇后	official	〖@霍去病〗，以军功封〖;冠军侯〗，号〖;骠骑将军〗。〖@青〗号〖;大将军〗。立	〖;卫皇后〗	子〖@据〗为〖#太子〗。〖&卫氏〗枝属以军功起家，五人为侯。	skip
049_外戚世家.tagged.md	106	王太后	official	5.1] 〖;褚先生〗曰：臣为〖;郎〗时，问习〖'汉〗家故事者〖@锺离生〗。曰：	〖;王太后〗	在民间时所生一女者，父为〖;金王孙〗。〖;王孙〗已死，〖@景帝〗崩後，〖@武帝〗	skip
049_外戚世家.tagged.md	106	王太后	official	时所生一女者，父为〖;金王孙〗。〖;王孙〗已死，〖@景帝〗崩後，〖@武帝〗已立，	〖;王太后〗	独在。而〖;韩王孙〗名〖@嫣〗素得幸〖@武帝〗，承间白言〖#太后〗有女在〖=长陵	skip
049_外戚世家.tagged.md	112	平阳公主	official	之乎？"於是〖@主〗乃许之。言之〖#皇后〗，令白之〖@武帝〗，乃诏〖;卫将军〗尚	〖;平阳公主〗	焉。	skip
049_外戚世家.tagged.md	128	卫太子	official	[18.2] 	〖;卫太子〗	废後，未复立〖#太子〗。而〖;燕王旦〗上书，原归国入宿卫。〖@武帝〗怒，立斩其使	skip
050_楚元王世家.tagged.md	16	薄太后	official	[2.1] 〖;王戊〗立〖%二十年〗，冬，坐为	〖;薄太后〗	服私奸，削〖=东海郡〗。春，〖;戊〗与〖;吴王〗合谋反，其〖;相张尚〗、〖;太傅	skip
050_楚元王世家.tagged.md	20	窦太后	official	楚〗，〖;孝景帝〗欲以〖;德侯〗子续〖'吴〗，以〖;元王〗子〖@礼〗续〖'楚〗。	〖;窦太后〗	曰："〖;吴王〗，〖!老人〗也，宜为宗室顺善。今乃首率〖'七国〗，纷乱〔天下〕，	skip
085_吕不韦列传.tagged.md	42	夏太后	official	〖;庄襄王〗。〖;庄襄王〗所母〖;华阳〗后为〖;华阳太后〗,真母〖@夏姬〗尊以为	〖;夏太后〗	。	skip
085_吕不韦列传.tagged.md	42	华阳太后	official	;孝文王〗。〖;太子子楚〗代立,是为〖;庄襄王〗。〖;庄襄王〗所母〖;华阳〗后为	〖;华阳太后〗	,真母〖@夏姬〗尊以为〖;夏太后〗。	skip
085_吕不韦列传.tagged.md	64	夏太后	official	[11.1] 〖@始皇〗〖%七年〗,〖;庄襄王〗母	〖;夏太后〗	薨。〖;孝文王〗后曰〖;华阳太后〗,与〖;孝文王〗会葬〖=寿陵〗。〖;夏太后〗子	skip
085_吕不韦列传.tagged.md	64	夏太后	official	母〖;夏太后〗薨。〖;孝文王〗后曰〖;华阳太后〗,与〖;孝文王〗会葬〖=寿陵〗。	〖;夏太后〗	子〖;庄襄王〗葬〖=芷阳〗,故〖;夏太后〗独别葬〖=杜〗东,曰"东望吾子,西望吾	skip
085_吕不韦列传.tagged.md	64	夏太后	official	太后〗,与〖;孝文王〗会葬〖=寿陵〗。〖;夏太后〗子〖;庄襄王〗葬〖=芷阳〗,故	〖;夏太后〗	独别葬〖=杜〗东,曰"东望吾子,西望吾夫。後〖%百年〗,旁当有〖%万家〗邑"。	skip
085_吕不韦列传.tagged.md	64	华阳太后	official	11.1] 〖@始皇〗〖%七年〗,〖;庄襄王〗母〖;夏太后〗薨。〖;孝文王〗后曰	〖;华阳太后〗	,与〖;孝文王〗会葬〖=寿陵〗。〖;夏太后〗子〖;庄襄王〗葬〖=芷阳〗,故〖;夏	skip
085_吕不韦列传.tagged.md	82	帝太后	official	[15.1] 〖@始皇〗〖%十九年〗,〖#太后〗薨,谥为	〖;帝太后〗	,与〖;庄襄王〗会葬〖=茝阳〗。	identity
095_樊郦滕灌列传.tagged.md	65	平阳公主	official	立，〖%七年〗卒。子〖;共侯〗〖;赐〗立，〖%三十一年〗卒。〖@子侯〗〖@颇〗尚	〖;平阳公主〗	。立十〖%九岁〗，〖%元鼎二年〗，坐与父御婢奸罪，自杀，国除。	skip
096_张丞相列传.tagged.md	26	吕太后	official	[3.3] 〖@高祖〗崩，	〖;吕太后〗	使使召〖;赵王〗，其相〖@周昌〗令王称疾不行。使者三反，〖@周昌〗固为不遣〖;赵	skip
097_郦生陆贾列传.tagged.md	42	吕太后	official	[6.1] 〖;孝惠帝〗时，	〖;吕太后〗	用事，欲王诸〖;吕〗，畏〖#大臣〗有口者，〖@陆生〗自度不能争之，乃病免家居。以	skip
097_郦生陆贾列传.tagged.md	46	吕太后	official	[7.1] 	〖;吕太后〗	时，王诸〖;吕〗，诸〖;吕〗擅权，欲劫〖#少主〗，危〖;刘氏〗。〖;右丞相〗〖@	skip
097_郦生陆贾列传.tagged.md	52	吕太后	official	人辩有口，刻廉刚直，家於〖=长安〗。行不苟合，义不取容。〖;辟阳侯〗行不正，得幸	〖;吕太后〗	。时〖;辟阳侯〗欲知〖;平原君〗，〖;平原君〗不肯见。及〖;平原君〗母死，〖@陆	skip
097_郦生陆贾列传.tagged.md	54	吕太后	official	[8.2] 〖;辟阳侯〗幸	〖;吕太后〗	，人或毁〖;辟阳侯〗於〖;孝惠帝〗，〖;孝惠帝〗大怒，下吏，欲诛之。〖;吕太后〗	skip
097_郦生陆贾列传.tagged.md	54	吕太后	official	〖;吕太后〗，人或毁〖;辟阳侯〗於〖;孝惠帝〗，〖;孝惠帝〗大怒，下吏，欲诛之。	〖;吕太后〗	惭，不可以言。〖#大臣〗多害〖;辟阳侯〗行，欲遂诛之。〖;辟阳侯〗急，因使人欲见	skip
097_郦生陆贾列传.tagged.md	56	吕太后	official	[8.3] 	〖;吕太后〗	崩，〖#大臣〗诛诸〖;吕〗，〖;辟阳侯〗於诸〖;吕〗至深，而卒不诛。计画所以全者	skip
107_魏其武安侯列传.tagged.md	23	栗太子	official	〖@孝景〗〖%四年〗，立	〖;栗太子〗	，使〖;魏其侯〗为〖;太子傅〗。〖@孝景〗〖%七年〗，〖;栗太子〗废，〖;魏其〗	skip
107_魏其武安侯列传.tagged.md	23	栗太子	official	〖%四年〗，立〖;栗太子〗，使〖;魏其侯〗为〖;太子傅〗。〖@孝景〗〖%七年〗，	〖;栗太子〗	废，〖;魏其〗数争不能得。〖;魏其〗谢病，屏居〖=蓝田〗〖=南山〗之下〖%数月〗	skip
111_卫将军骠骑列传.tagged.md	10	平阳公主	official	[1.2] 〖@青〗同母兄〖@卫长子〗,而姊〖@卫子夫〗自	〖;平阳公主〗	家得幸〖#天子〗,故冒姓为〖@卫〗氏。字〖;仲卿〗。〖@长子〗更字〖;长君〗。〖	skip
111_卫将军骠骑列传.tagged.md	312	卫太子	official	[17.14.3] 为〖;光禄勋〗,掘〖^蛊〗〖#太子〗宫,	〖;卫太子〗	杀之。	skip
112_平津侯主父列传.tagged.md	194	公侯	official	[12.3.11] 然皆非	〖;公侯〗	之後,非长〖;官〗之〖;吏〗也。无尺寸之势,起闾巷,杖〖*棘矜〗,应时而皆动,不	identity
112_平津侯主父列传.tagged.md	224	卫皇后	official	[14.5] 尊立	〖;卫皇后〗	,及发〖;燕王定国〗阴事,盖〖@偃〗有功焉。〖#大臣〗皆畏其口,赂遗累千〖*金〗	skip
113_南越列传.tagged.md	25	王太后	official	安国少季〗通。及〖@婴齐〗薨後，〖%元鼎四年〗，〖'汉〗使〖@安国少季〗往谕王、	〖;王太后〗	以入朝，比内诸侯；令辩士〖;谏大夫〗〖@终军〗等宣其辞，勇士〖@魏臣〗等辅其缺，	skip
113_南越列传.tagged.md	25	王太后	official	〗印，馀得自置。除其故〖^黥劓刑〗，用〖^汉法〗，比内诸侯。使者皆留填抚之。王、	〖;王太后〗	饬治行装重赍，为入朝具。	skip
113_南越列传.tagged.md	27	王太后	official	止王，王弗听。有畔心，数称病不见〖'汉〗使者。使者皆注意〖@嘉〗，势未能诛。王、	〖;王太后〗	亦恐〖@嘉〗等先事发，乃置酒，介汉使者权，谋诛〖@嘉〗等。使者皆东乡，〖#太后〗	skip
113_南越列传.tagged.md	31	王太后	official	[9] 〖#天子〗闻〖@嘉〗不听王，王、	〖;王太后〗	弱孤不能制，使者怯无决。又以为王、〖;王太后〗已附〖'汉〗，独〖@吕嘉〗为乱，不	skip
113_南越列传.tagged.md	31	王太后	official	 〖#天子〗闻〖@嘉〗不听王，王、〖;王太后〗弱孤不能制，使者怯无决。又以为王、	〖;王太后〗	已附〖'汉〗，独〖@吕嘉〗为乱，不足以兴兵，欲使〖@庄参〗以二〖%千人〗往使。〖	skip
113_南越列传.tagged.md	31	王太后	official	〖@吕嘉〗为害，原得勇士二百人，必斩〖@嘉〗以报。"於是〖#天子〗遣〖@千秋〗与	〖;王太后〗	弟〖@樛乐〗将二〖%千人〗往，入〖=越〗境。〖@吕嘉〗等乃遂反，下令国中曰："王	skip
113_南越列传.tagged.md	31	王太后	official	千秋〗虽无成功，亦军锋之冠。"封其子〖@延年〗为〖;成安侯〗。〖@樛乐〗，其姊为	〖;王太后〗	，首原属〖'汉〗，封其子〖@广德〗为〖;龙亢侯〗。乃下赦曰："〖#天子〗微，诸侯	skip
114_东越列传.tagged.md	39	公侯	official	国迁众，其先苗裔〖;繇王〗〖@居股〗等犹尚封为〖%万户〗侯，由此知〖~越〗世世为	〖;公侯〗	矣。	identity
118_淮南衡山列传.tagged.md	9	薄太后	official	报母之仇，谨伏阙下请罪。"〖%孝文〗伤其志，为亲故，弗治，赦〖;厉王〗。当是时，	〖;薄太后〗	及太子诸〖#大臣〗皆惮〖;厉王〗，〖;厉王〗以此归国益骄恣，不用〖'汉〗法，出入	skip
