页面	减少量(B)	减少前(B)	减少后(B)	时间	减少前摘要	减少后摘要	减少前版本	减少后版本
汉武帝军功封侯激励五步设计法	6427	6791	364	2026-04-24 01:00:23	butler/ontology-import: 汉武帝119侯爵数据提炼五步激励设计（量化标准/实时兑现/分级激励/动态调整/风险控制）+华为阿里特斯拉现代对比	H1 merge: 汉武帝军功封侯激励五步设计法 REDIRECT → 汉武帝封侯激励体系...六步设计...	20260423-055750-d9d58d	20260424-010023-aa43a1
蔡仲改行复封六步制度：叛者后裔第二次机会与罪不及子孙方法论	6427	6795	368	2026-04-24 01:11:59	butler/ontology-import: 蔡仲六步制度（不连坐/主动改行/试炼/担保/正式程序/象征性完整）	REDIRECT→蔡仲改行复封：叛者后裔第二次机会六步制度设计（jaccard=0.56，流程图/再犯决策点已并入）	20260423-074446-6cbb21	20260424-011159-ee5cf4
功高震主六重自保术	6295	6433	138	2026-04-24 00:37:03	butler/ontology-import: 萧何六重自我矮化自保技术（送人质/辞封/自污/忍狱/谦卑/家风）基于萧相国世家	H1融合：改为REDIRECT→功高震主	20260423-051728-b792fc	20260424-003703-45f002
武王分封十弟权力结构设计：近亲建国四维法与继承期规则的失败教训	6266	6664	398	2026-04-24 01:10:14	butler/ontology-import: 武王分封四维设计（排行权力不匹配/监殷缺陷/周公五项修正）	REDIRECT→武王分封十弟：近亲权力结构设计四维法与三大失败教训（jaccard=0.61，冗余合并）	20260423-074326-afefb3	20260424-011014-6d1aef
巴蜀	6228	8400	2172	2026-04-24 12:57:48	butler/rebuild-place-citations: 重建PN引文节	butler/import-feudal-state: 更新史记引文 巴蜀	20260424-103859-f6aaac	20260424-125748-170d1d
存二王之后六原则：封前朝后裔的礼制怀柔与两千年制度传承方法论	6224	6606	382	2026-04-24 00:52:51	butler/ontology-import: 存二王之后六原则（承认合法性/实际封地/祭祀权/不入核心/自然消亡）	H1 merge: 存二王之后六原则 REDIRECT → 存二王之后：封前朝后裔六原则与怀柔政治合法性建构	20260423-075206-d687fc	20260424-005251-eb27ed
陈完奔齐：精英避乱迁徙七步法与百年扎根战略	6194	6482	288	2026-04-23 14:20:49	butler/ontology-import: 陈杞世家陈完奔齐七步法（判断留走/选择去处/第一印象/选岗位/婚姻战略/子女融入/百年战略）+移民家庭百年规划	butler/dedup: 转为REDIRECT→陈完奔齐	20260423-063618-a246b2	20260423-142049-6d884c
汉文帝六重合法性建构：外藩入继一日稳政与新君即位完整方法论	6156	6532	376	2026-04-24 00:57:52	butler/ontology-import: 文帝六重合法性（天命宗法功臣礼仪法统德政+八人再拜完整覆盖）	H1 merge: 汉文帝六重合法性建构... REDIRECT → 汉文帝即位：外藩入继...	20260423-074848-376f4c	20260424-005752-d9f35c
围魏救赵完整战术框架：批亢捣虚六步法与间接路线三原则	6146	6554	408	2026-04-24 00:38:54	butler/ontology-import: 围魏救赵孙膑桂陵之战完整战术框架（批亢捣虚/形格势禁）与六步操作法	H1融合：改为REDIRECT→围魏救赵完整方法论	20260423-073047-186b8f	20260424-003854-264b40
邹阳狱中上梁王书	6037	6189	152	2026-04-24 01:35:02	butler/fix-broken-link: [[昭王]]→[[秦昭王|昭王]]	H1 REDIRECT → 邹阳狱中上书（合并）	20260423-151534-c80734	20260424-013502-8445a1
中国	6034	7809	1775	2026-04-24 12:57:18	butler/rebuild-place-citations: 重建PN引文节	butler/import-feudal-state: 更新史记引文 中国	20260424-103829-bf186d	20260424-125718-12952e
梁孝王刺袁盎暗杀反噬：政治极端手段七层自毁机制与六大警示	6021	6363	342	2026-04-24 00:44:02	butler/ontology-import: 梁孝王刺袁盎四层反噬机制（政治/情感/心理/生理）与六大反模式警示	H1融合：改为REDIRECT→梁孝王刺袁盎：政治暗杀反噬六层自毁机制	20260423-073047-e61a91	20260424-004402-f59600
范睢上秦昭王书	6007	6161	154	2026-04-24 02:09:25	butler/fix-broken-link: [[昭王]]→[[秦昭王|昭王]]（标题即秦昭王）	butler/merge: convert to redirect → 范睢上书求见昭王	20260423-151446-f7052c	20260424-020925-308d69
周公三诰模式：新任领导者入职三文件治理方法论与五步实施清单	5840	6182	342	2026-04-24 01:06:21	butler/ontology-import: 周公三诰（康诰/酒诰/梓材）新任领导者入职文件三维治理模式与五步实施方法	H1 merge: 周公三诰冗余页 REDIRECT → 周公三诰：新任领导者入职文件治理方法	20260423-071728-060b44	20260424-010621-69a1b3
围魏救赵六步操作法：批亢捣虚间接路线战略	5751	6123	372	2026-04-24 00:38:54	butler/ontology-import: 孙子吴起列传围魏救赵六步法（识别要害/确认空虚/快速机动/控制要害/等待回救/有利战场）+桂陵马陵对比	H1融合：改为REDIRECT→围魏救赵完整方法论	20260423-062328-8fa373	20260424-003854-42ba17
魏	5615	9613	3998	2026-04-24 13:19:32	butler/import-feudal-state: 更新史记引文 魏	butler/restore: 补录revision——还原被误替换的史记引文节	20260424-125715-723abd	20260424-131932-491eb0
周	5524	11404	5880	2026-04-24 13:19:24	butler/import-feudal-state: 更新史记引文 周	butler/restore: 补录revision——还原被误替换的史记引文节	20260424-125713-952faf	20260424-131924-09d668
霍去病封狼居胥	5479	5605	126	2026-04-23 15:09:08	butler/import-story: 霍去病封狼居胥	butler/redirect: 霍去病封狼居胥 → 封狼居胥	20260423-230237-4a09eb	20260423-150908-391214
向戌弭兵：小国主导大国和平谈判七原则	5271	5617	346	2026-04-24 00:41:57	butler/ontology-import: 宋微子世家向戌弭兵14国和会七原则（疲态/独立价值/私人关系/有面子方案/穿梭外交/中间人定位/接受不完美）	H1融合：改为REDIRECT→向戌弭兵14国和会	20260423-062429-80b953	20260424-004157-0a2a0c
城濮之战：退避三舍	5200	5338	138	2026-04-23 15:09:09	butler/import-story: 城濮之战：退避三舍	butler/redirect: 城濮之战：退避三舍 → 城濮之战	20260423-230237-d95ec0	20260423-150909-cce942
天下	5144	6622	1478	2026-04-24 12:57:51	butler/rebuild-place-citations: 重建PN引文节	butler/import-feudal-state: 更新史记引文 天下	20260424-103850-c16c9f	20260424-125751-0a0d89
赵括纸上谈兵	4867	4987	120	2026-04-23 15:09:08	butler/import-story: 赵括纸上谈兵	butler/redirect: 赵括纸上谈兵 → 纸上谈兵	20260423-230237-9e0cb6	20260423-150908-23d094
吴	4314	7707	3393	2026-04-24 13:19:24	butler/import-feudal-state: 更新史记引文 吴	butler/restore: 补录revision——还原被误替换的史记引文节	20260424-125715-cf0871	20260424-131924-508d9c
大泽乡起义：王侯将相宁有种乎	4285	4459	174	2026-04-23 15:09:09	butler/import-story: 大泽乡起义：王侯将相宁有种乎	butler/redirect: 大泽乡起义：王侯将相宁有种乎 → 大泽乡起义	20260423-230237-e1366c	20260423-150909-47f34f
周阳侯国	4218	7865	3647	2026-04-23 14:19:50	butler/create-stub: 周阳侯国 汉代侯国条目（批量导入）	butler/create-stub: 周阳侯国 汉代侯国条目	20260423-140214-55ef3f	20260423-141950-bec69c
管鲍之交与管仲相齐	4116	4254	138	2026-04-23 15:09:11	butler/import-story: 管鲍之交与管仲相齐	butler/redirect: 管鲍之交与管仲相齐 → 管鲍之交	20260423-230237-c9f720	20260423-150911-45a6e3
通西南夷	4085	4217	132	2026-04-23 15:09:11	butler/import-story: 通西南夷	butler/redirect: 通西南夷 → 司马相如通西南夷	20260423-230237-d7d6cf	20260423-150911-3da319
商	4038	4655	617	2026-04-24 12:17:10	商：redirect改为独立state页	商：改为消歧义页，指向殷（朝代）和商邑（地名）	20260424-121411-71297b	20260424-121710-2a2422
卫	3977	8289	4312	2026-04-24 13:19:23	butler/import-feudal-state: 更新史记引文 卫	butler/restore: 补录revision——还原被误替换的史记引文节	20260424-125714-c2cb56	20260424-131923-d3d1ef
功狗与功人	3951	4117	166	2026-04-24 02:09:25	butler/ontology-import: 功狗与功人	butler/merge: convert to redirect → 功狗与功人的双轨评价体系	20260423-100000-1a5bcc	20260424-020925-29f9dd
朱公救子与财富的逻辑	3871	4019	148	2026-04-24 01:56:42	butler/ontology-import: 朱公救子与财富的逻辑	butler/merge: convert to redirect → 朱公救子	20260423-100000-ad23c2	20260424-015642-dbc7af
白起赐死杜邮	3842	3962	120	2026-04-24 00:34:30	butler/fix-pn: 修正PN格式 + 添加章节关联	H1融合：改为REDIRECT→白起之死	20260423-164851-fd2b07	20260424-003430-679b0b
田氏代齐：田常弑简公	3793	3937	144	2026-04-23 15:09:07	butler/import-story: 田氏代齐：田常弑简公	butler/redirect: 田氏代齐：田常弑简公 → 田氏代齐	20260423-230237-111580	20260423-150907-0e647c
穰侯魏冉专秦政	3767	3935	168	2026-04-24 00:54:32	butler/import-story: 穰侯魏冉专秦政	H1 merge: 穰侯魏冉专秦政 REDIRECT → 穰侯魏冉与秦国外戚政治	20260423-230237-dba977	20260424-005432-77df36
李少君方术	3753	3921	168	2026-04-24 00:51:07	butler/import-story: 李少君方术	H1 merge: 李少君方术 REDIRECT → 李少君、少翁、栾大：方士事	20260423-230237-5f557f	20260424-005107-94e574
秦楚之际权力三嬗	3670	3846	176	2026-04-24 01:40:54	butler/ontology-import: 秦楚之际权力三嬗	REDIRECT：秦楚之际权力三嬗→秦楚之际：五年天下三嬗	20260423-100000-0c06c6	20260424-014054-803d05
乐毅报燕惠王书（附燕惠王让乐毅书）	3660	3866	206	2026-04-24 01:56:35	claude/sanwen-import: 批量导入散文页面 乐毅报燕惠王书（附燕惠王让乐毅书）	butler/merge: convert to redirect → 乐毅报书燕惠王	20260423-051041-a372c8	20260424-015635-1728d8
司马谈论六家要旨	3659	3984	325	2026-04-23 06:01:58	claude/sanwen-import: 批量导入散文页面 司马谈论六家要旨	butler/housekeeping-H1: 司马谈论六家要旨 改为REDIRECT→司马谈六家论	20260423-051044-0cbeee	20260423-060158-08face
盖侯国	3627	15368	11741	2026-04-23 14:20:04	butler/create-stub: 盖侯国 汉代侯国条目（批量导入）	butler/create-stub: 盖侯国 汉代侯国条目	20260423-140115-ac926b	20260423-142004-10e05e
建成侯国	3568	9193	5625	2026-04-23 14:20:23	butler/create-stub: 建成侯国 汉代侯国条目	butler/create-stub: 建成侯国 汉代侯国条目	20260423-141909-0518e4	20260423-142023-6712c5
功臣世家的传代困境	3565	3807	242	2026-04-24 01:18:03	butler/ontology-import: 功臣世家的传代困境	REDIRECT→功臣世家传代魔咒：周勃周亚夫父子七步预防法（内容已被涵盖）	20260423-100000-892ac2	20260424-011803-e77330
重耳流亡复国	3533	3675	142	2026-04-24 01:56:09	butler/ontology-import: 重耳流亡复国	butler/merge: convert to redirect → 重耳流亡十九年	20260423-100000-d7eb5c	20260424-015609-51812e
薛	3414	5373	1959	2026-04-24 12:57:49	butler/rebuild-place-citations: 重建PN引文节	butler/import-feudal-state: 更新史记引文 薛	20260424-103948-e2590f	20260424-125749-d638d2
稷下学宫	3378	3514	136	2026-04-24 02:05:46	butler/ontology-import: 稷下学宫	butler/merge: convert to redirect → 稷下学宫制度设计	20260423-100000-070bf3	20260424-020546-94f05d
鲁	3345	8468	5123	2026-04-24 13:19:32	butler/import-feudal-state: 更新史记引文 鲁	butler/restore: 补录revision——还原被误替换的史记引文节	20260424-125714-22121c	20260424-131932-d755e3
四皓保储	3336	3454	118	2026-04-24 02:00:39	butler/ontology-import: 四皓保储	butler/merge: convert to redirect → 四皓保太子	20260423-100000-42653d	20260424-020039-f57b2e
陈完奔齐与田氏代齐预言	3297	3621	324	2026-04-23 14:20:50	butler/ontology-import: 陈完奔齐与田氏代齐预言	butler/dedup: 转为REDIRECT→陈完奔齐	20260423-100000-cac5d2	20260423-142050-1074a5
萧何自污保身	3140	3282	142	2026-04-24 02:05:46	butler/ontology-import: 萧何自污保身	butler/merge: convert to redirect → 萧何自污以安君	20260423-100000-9a02d6	20260424-020546-5580e6
汉初经济政策	3137	3301	164	2026-04-24 01:17:07	butler/ontology-import: 汉初经济政策	REDIRECT→汉初经济政策与文景之治（七步法表/币制演变/历史意义已并入）	20260423-100000-7714b4	20260424-011707-827f60
张仪欺楚：六里商於	3062	3242	180	2026-04-23 15:09:11	butler/import-story: 张仪欺楚：六里商於	butler/redirect: 张仪欺楚：六里商於 → 张仪欺楚：六百里变六里	20260423-230237-7be863	20260423-150911-18ed1a
平津侯国	3018	13718	10700	2026-04-23 14:20:07	butler/create-stub: 平津侯国 汉代侯国条目（批量导入）	butler/create-stub: 平津侯国 汉代侯国条目	20260423-140137-dcbed2	20260423-142007-93cd47
姬夫差	3013	3103	90	2026-04-24 00:46:50	butler edit	H1融合：改为REDIRECT→夫差	20260422-191620-a2f06b	20260424-004650-7a1b8f
管仲相齐、九合诸侯	2965	3121	156	2026-04-24 01:24:19	butler/import-story: 管仲相齐、九合诸侯	H1 REDIRECT → 管仲相齐称霸（合并）	20260423-230237-e6a7ff	20260424-012419-643a8d
司马谈论六家要指	2946	3233	287	2026-04-23 06:01:58	butler/ontology-import: 司马谈论六家要指	butler/housekeeping-H1: 司马谈论六家要指 改为REDIRECT→司马谈六家论	20260423-100000-a29cf1	20260423-060158-f67e48
仓公医案：缇萦上书救父	2923	3073	150	2026-04-23 15:09:10	butler/import-story: 仓公医案：缇萦上书救父	butler/redirect: 仓公医案：缇萦上书救父 → 缇萦上书	20260423-230237-2e2f7a	20260423-150910-163541
吴王夫差	2869	2965	96	2026-04-24 00:46:50	butler edit	H1融合：改为REDIRECT→夫差	20260423-032351-bdfc03	20260424-004650-3052bc
酎金坐罪大量国除	2811	2957	146	2026-04-24 01:30:08	butler/fix-pn: 修正PN格式 + 添加章节关联	H1 REDIRECT → 酎金坐罪国除（合并）	20260423-164950-083b71	20260424-013008-62000a
济南	2791	5288	2497	2026-04-24 12:57:19	butler/rebuild-place-citations: 重建PN引文节	butler/import-feudal-state: 更新史记引文 济南	20260424-103926-cb8f9d	20260424-125719-572761
信陵君救赵：窃符救赵	2769	2913	144	2026-04-23 15:09:06	butler/import-story: 信陵君救赵：窃符救赵	butler/redirect: 信陵君救赵：窃符救赵 → 窃符救赵	20260423-230237-0009ac	20260423-150906-f31713
子产治郑	2727	4474	1747	2026-04-23 15:02:37	butler/import-story: 子产治郑	butler/import-story: 子产治郑	20260423-230237-34653f	20260423-230237-df9900
悬梁刺股、苏秦之志	2611	2749	138	2026-04-23 15:09:07	butler/import-story: 悬梁刺股、苏秦之志	butler/redirect: 悬梁刺股、苏秦之志 → 悬梁刺股	20260423-230237-4d6c82	20260423-150907-0ddaa0
雍	2604	4987	2383	2026-04-24 12:57:16	butler/rebuild-place-citations: 重建PN引文节	butler/import-feudal-state: 更新史记引文 雍	20260424-104014-b82645	20260424-125716-dbb8b8
冒顿鸣镝弑父	2569	2721	152	2026-04-24 01:35:01	butler/import-story: 冒顿鸣镝弑父	H1 REDIRECT → 冒顿鸣镝弑父自立（合并）	20260423-230237-072deb	20260424-013501-fb96ee
背水一战：井陉之战	2550	2688	138	2026-04-23 15:09:12	butler/ontology-import: 背水一战：井陉之战	butler/redirect: 背水一战：井陉之战 → 背水一战	20260423-100000-124b3b	20260423-150912-ec19cd
细柳营治军	2542	2684	142	2026-04-24 02:09:25	butler/ontology-import: 细柳营治军	butler/merge: convert to redirect → 细柳营：周亚夫军	20260423-100000-9bcf70	20260424-020925-dbf860
襄成侯国	2498	3273	775	2026-04-23 14:19:44	butler/create-stub: 襄成侯国 汉代侯国条目（批量导入）	butler/create-stub: 襄成侯国 汉代侯国条目	20260423-140200-ee62d8	20260423-141944-f27f2d
汉	2490	10159	7669	2026-04-24 13:19:25	butler/import-feudal-state: 更新史记引文 汉	butler/restore: 补录revision——还原被误替换的史记引文节	20260424-125715-a4fe5f	20260424-131925-ce7682
胯下之辱、漂母饭信	2461	2635	174	2026-04-23 15:09:10	butler/import-story: 胯下之辱、漂母饭信	butler/redirect: 胯下之辱、漂母饭信 → 胯下之辱与韩信的忍耐	20260423-230237-fc5a46	20260423-150910-94a414
平侯国	2451	12501	10050	2026-04-23 14:19:18	butler/create-stub: 平侯国 汉代侯国条目（批量导入）	butler/create-stub: 平侯国 汉代侯国条目	20260423-140137-a51df0	20260423-141918-079134
清河	2446	4771	2325	2026-04-24 12:57:19	butler/rebuild-place-citations: 重建PN引文节	butler/import-feudal-state: 更新史记引文 清河	20260424-103928-29cac7	20260424-125719-fcdc1b
南越	2352	5811	3459	2026-04-24 12:57:48	butler/rebuild-place-citations: 重建PN引文节	butler/import-feudal-state: 更新史记引文 南越	20260424-103842-41dd79	20260424-125748-a481b8
成侯国	2334	14973	12639	2026-04-23 14:19:12	butler/create-stub: 成侯国 汉代侯国条目（批量导入）	butler/create-stub: 成侯国 汉代侯国条目	20260423-140103-decf04	20260423-141912-b513f4
冠军侯国	2328	6525	4197	2026-04-23 14:20:21	butler/create-stub: 冠军侯国 汉代侯国条目	butler/create-stub: 冠军侯国 汉代侯国条目	20260423-142011-0d7ac8	20260423-142021-a0bbf9
平阳侯国	2286	15211	12925	2026-04-23 14:19:05	butler/create-stub: 平阳侯国 汉代侯国条目（批量导入）	butler/create-stub: 平阳侯国 汉代侯国条目	20260423-140140-25db21	20260423-141905-815e78
河间	2285	3978	1693	2026-04-24 12:57:50	butler/rebuild-place-citations: 重建PN引文节	butler/import-feudal-state: 更新史记引文 河间	20260424-103923-bc85ad	20260424-125750-0798b1
莒	2278	5140	2862	2026-04-24 12:57:18	butler/rebuild-place-citations: 重建PN引文节	butler/import-feudal-state: 更新史记引文 莒	20260424-103946-91f627	20260424-125718-b06587
长平侯国	2226	11948	9722	2026-04-23 14:20:06	butler/create-stub: 长平侯国 汉代侯国条目（批量导入）	butler/create-stub: 长平侯国 汉代侯国条目	20260423-140102-259f7e	20260423-142006-f41708
齐威王烹阿大夫、封即墨	2209	2377	168	2026-04-23 15:09:12	butler/import-story: 齐威王烹阿大夫、封即墨	butler/redirect: 齐威王烹阿大夫、封即墨 → 齐威王烹阿大夫	20260423-230237-94c2c6	20260423-150912-262d3c
颍阴侯国	2193	14122	11929	2026-04-23 14:19:11	butler/create-stub: 颍阴侯国 汉代侯国条目（批量导入）	butler/create-stub: 颍阴侯国 汉代侯国条目	20260423-140210-8c88db	20260423-141911-15aef6
季札观乐于鲁	2139	2259	120	2026-04-23 15:09:07	butler/import-story: 季札观乐于鲁	butler/redirect: 季札观乐于鲁 → 季札观乐	20260423-230237-6234a9	20260423-150907-d2c478
武安侯国	2124	13382	11258	2026-04-23 14:20:05	butler/create-stub: 武安侯国 汉代侯国条目（批量导入）	butler/create-stub: 武安侯国 汉代侯国条目	20260423-140156-592c7b	20260423-142005-6da18d
真定	2119	3578	1459	2026-04-24 12:57:20	butler/rebuild-place-citations: 重建PN引文节	butler/import-feudal-state: 更新史记引文 真定	20260424-103937-069ac7	20260424-125720-824460
曲逆侯国	2100	15182	13082	2026-04-23 14:19:08	butler/create-stub: 曲逆侯国 汉代侯国条目（批量导入）	butler/create-stub: 曲逆侯国 汉代侯国条目	20260423-140145-573d80	20260423-141908-db3757
伊尹放太甲于桐宫	2086	2224	138	2026-04-23 15:09:09	butler/import-story: 伊尹放太甲于桐宫	butler/redirect: 伊尹放太甲于桐宫 → 伊尹放太甲	20260423-230237-b8f8b6	20260423-150909-b2a8ec
夏	2049	4245	2196	2026-04-24 13:19:24	butler/import-feudal-state: 更新史记引文 夏	butler/restore: 补录revision——还原被误替换的史记引文节	20260424-125713-448fc8	20260424-131924-79838e
建陵侯国	1988	6246	4258	2026-04-23 14:19:49	butler/create-stub: 建陵侯国 汉代侯国条目（批量导入）	butler/create-stub: 建陵侯国 汉代侯国条目	20260423-140124-b91289	20260423-141949-7e4670
城阳	1985	4450	2465	2026-04-24 12:57:18	butler/rebuild-place-citations: 重建PN引文节	butler/import-feudal-state: 更新史记引文 城阳	20260424-103848-e0692d	20260424-125718-e4390c
济北	1972	5818	3846	2026-04-24 12:57:18	butler/rebuild-place-citations: 重建PN引文节	butler/import-feudal-state: 更新史记引文 济北	20260424-103926-1fbf00	20260424-125718-23c65f
壮侯国	1959	3955	1996	2026-04-23 14:19:39	butler/create-stub: 壮侯国 汉代侯国条目（批量导入）	butler/create-stub: 壮侯国 汉代侯国条目	20260423-140215-48864d	20260423-141939-42857a
申	1938	3248	1310	2026-04-24 12:57:17	butler/rebuild-place-citations: 重建PN引文节	butler/import-feudal-state: 更新史记引文 申	20260424-103935-cca5de	20260424-125717-152e13
郢	1878	4012	2134	2026-04-24 12:57:51	butler/rebuild-place-citations: 重建PN引文节	butler/import-feudal-state: 更新史记引文 郢	20260424-104000-14ee6d	20260424-125751-714820
淮阴侯国	1869	13361	11492	2026-04-23 14:19:17	butler/create-stub: 淮阴侯国 汉代侯国条目（批量导入）	butler/create-stub: 淮阴侯国 汉代侯国条目	20260423-140122-6cf729	20260423-141917-040f18
韩原之战：俘晋惠公	1854	2022	168	2026-04-24 01:25:40	butler/import-story: 韩原之战：俘晋惠公	H1 REDIRECT → 韩原之战秦虏惠公（合并）	20260423-230237-3c137b	20260424-012540-0efc88
陈馀遗章邯书	1809	1945	136	2026-04-24 01:54:50	claude/sanwen-import: 导入散文页面 陈馀遗章邯书	butler/merge: convert to redirect → 陈馀遗书章邯	20260423-050337-d8639a	20260424-015450-455d2c
