章节号,章节名,事件ID,事件名称,事件类型,事件年代,距司马谈,距司马迁,史源类型,可信度,推理依据
001,五帝本纪,001-017,尧命羲和制历,文化活动,-2310,2200,2210,文献传承,C,距司马谈2200年，必依赖文献
001,五帝本纪,001-018,确立闰月历法,文化活动,-2310,2200,2210,文献传承,C,距司马谈2200年，必依赖文献
001,五帝本纪,001-019,尧询问继承人,政治活动,-2290,2180,2190,文献传承,C,距司马谈2180年，必依赖文献
001,五帝本纪,001-020,鲧治水九年不成,自然灾害,-2290,2180,2190,文献传承,C,距司马谈2180年，必依赖文献
001,五帝本纪,001-021,尧欲传位四岳,政治活动,-2287,2177,2187,文献传承,C,距司马谈2177年，必依赖文献
001,五帝本纪,001-022,众臣荐举虞舜,政治活动,-2287,2177,2187,文献传承,C,距司马谈2177年，必依赖文献
001,五帝本纪,001-023,尧以二女嫁舜,政治活动,-2285,2175,2185,文献传承,C,距司马谈2175年，必依赖文献
001,五帝本纪,001-024,舜试政三年,政治活动,-2284,2174,2184,文献传承,C,距司马谈2174年，必依赖文献
001,五帝本纪,001-025,舜摄政观天命,继位,-2267,2157,2167,文献传承,C,距司马谈2157年，必依赖文献
001,五帝本纪,001-026,舜巡狩四方,政治活动,-2265,2155,2165,文献传承,C,距司马谈2155年，必依赖文献
001,五帝本纪,001-027,舜制定刑法,改革,-2265,2155,2165,文献传承,C,距司马谈2155年，必依赖文献
001,五帝本纪,001-028,舜惩办四罪,政治整顿,-2265,2155,2165,文献传承,C,距司马谈2155年，必依赖文献
001,五帝本纪,001-029,尧在位七十年,继位,-2287,2177,2187,文献传承,C,距司马谈2177年，必依赖文献
001,五帝本纪,001-030,尧让位二十八年,继位,-2287,2177,2187,文献传承,C,距司马谈2177年，必依赖文献
001,五帝本纪,001-031,尧崩百姓悲哀,继位,-2259,2149,2159,文献传承,C,距司马谈2149年，必依赖文献
001,五帝本纪,001-032,舜让辟丹朱,继位,-2256,2146,2156,文献传承,C,距司马谈2146年，必依赖文献
001,五帝本纪,001-033,舜践天子位,继位,-2256,2146,2156,文献传承,C,距司马谈2146年，必依赖文献
001,五帝本纪,001-034,舜世系七代,家族事件,-2256,2146,2156,文献传承,C,距司马谈2146年，必依赖文献
001,五帝本纪,001-035,舜遭家难磨砺,家族事件,-2300,2190,2200,文献传承,C,距司马谈2190年，必依赖文献
001,五帝本纪,001-036,舜耕历山渔雷泽,文化活动,-2300,2190,2200,文献传承,C,距司马谈2190年，必依赖文献
001,五帝本纪,001-037,舜二十岁以孝闻,文化活动,-2297,2187,2197,文献传承,C,距司马谈2187年，必依赖文献
001,五帝本纪,001-038,尧以二女妻舜,政治活动,-2285,2175,2185,文献传承,C,距司马谈2175年，必依赖文献
001,五帝本纪,001-039,火焚仓廪事件,家族事件,-2285,2175,2185,文献传承,C,距司马谈2175年，必依赖文献
001,五帝本纪,001-040,实井埋人事件,家族事件,-2285,2175,2185,文献传承,C,距司马谈2175年，必依赖文献
001,五帝本纪,001-041,舜聚居成都,建设,-2285,2175,2185,文献传承,C,距司马谈2175年，必依赖文献
001,五帝本纪,001-042,舜举八恺八元,政治改革,-2265,2155,2165,文献传承,C,距司马谈2155年，必依赖文献
001,五帝本纪,001-043,舜除四凶族,政治整顿,-2265,2155,2165,文献传承,C,距司马谈2155年，必依赖文献
001,五帝本纪,001-044,舜入大麓不迷,文化活动,-2268,2158,2168,文献传承,C,距司马谈2158年，必依赖文献
001,五帝本纪,001-045,舜摄政二十年,继位,-2267,2157,2167,文献传承,C,距司马谈2157年，必依赖文献
001,五帝本纪,001-046,舜摄政八年尧崩,继位,-2259,2149,2159,文献传承,C,距司马谈2149年，必依赖文献
001,五帝本纪,001-047,舜任命禹为司空,政治改革,-2255,2145,2155,文献传承,C,距司马谈2145年，必依赖文献
001,五帝本纪,001-048,舜任命后稷播种,政治改革,-2255,2145,2155,文献传承,C,距司马谈2145年，必依赖文献
001,五帝本纪,001-049,舜任命契为司徒,政治改革,-2255,2145,2155,文献传承,C,距司马谈2145年，必依赖文献
001,五帝本纪,001-050,舜任命皋陶为士,政治改革,-2255,2145,2155,文献传承,C,距司马谈2145年，必依赖文献
001,五帝本纪,001-051,舜任命垂为共工,政治改革,-2255,2145,2155,文献传承,C,距司马谈2145年，必依赖文献
001,五帝本纪,001-052,舜任命益为朕虞,政治改革,-2255,2145,2155,文献传承,C,距司马谈2145年，必依赖文献
001,五帝本纪,001-053,舜任命伯夷秩宗,政治改革,-2255,2145,2155,文献传承,C,距司马谈2145年，必依赖文献
001,五帝本纪,001-054,舜任命夔典乐,文化活动,-2255,2145,2155,文献传承,C,距司马谈2145年，必依赖文献
001,五帝本纪,001-055,舜任命龙纳言,政治改革,-2255,2145,2155,文献传承,C,距司马谈2145年，必依赖文献
001,五帝本纪,001-056,二十二人成功,政治活动,-2253,2143,2153,文献传承,C,距司马谈2143年，必依赖文献
001,五帝本纪,001-057,禹治水大功,建设,-2240,2130,2140,文献传承,C,距司马谈2130年，必依赖文献
001,五帝本纪,001-058,凤凰来翔,文化活动,-2240,2130,2140,文献传承,C,距司马谈2130年，必依赖文献
001,五帝本纪,001-059,舜五十八岁尧崩,继位,-2259,2149,2159,文献传承,C,距司马谈2149年，必依赖文献
001,五帝本纪,001-060,舜六十一践帝位,继位,-2256,2146,2156,文献传承,C,距司马谈2146年，必依赖文献
001,五帝本纪,001-061,舜在位三十九年,继位,-2217,2107,2117,文献传承,C,距司马谈2107年，必依赖文献
001,五帝本纪,001-062,舜朝父瞽叟,家族事件,-2250,2140,2150,文献传承,C,距司马谈2140年，必依赖文献
001,五帝本纪,001-063,舜封弟象为侯,政治活动,-2250,2140,2150,文献传承,C,距司马谈2140年，必依赖文献
001,五帝本纪,001-064,舜荐禹于天,继位,-2234,2124,2134,文献传承,C,距司马谈2124年，必依赖文献
001,五帝本纪,001-065,禹让舜子如尧,继位,-2214,2104,2114,文献传承,C,距司马谈2104年，必依赖文献
001,五帝本纪,001-066,尧舜子有封土,政治活动,-2214,2104,2114,文献传承,C,距司马谈2104年，必依赖文献
002,夏本纪,002-001,禹之身世世系,家族事件,-2150,2040,2050,文献传承,C,距司马谈2040年，必依赖文献
002,夏本纪,002-002,鲧治水九年失败,自然灾害,-2100,1990,2000,文献传承,C,距司马谈1990年，必依赖文献
002,夏本纪,002-003,鲧被诛于羽山,政治整顿,-2095,1985,1995,文献传承,C,距司马谈1985年，必依赖文献
002,夏本纪,002-004,舜举禹续鲧业,继位,-2090,1980,1990,文献传承,C,距司马谈1980年，必依赖文献
002,夏本纪,002-005,尧崩舜问司空,继位,-2085,1975,1985,文献传承,C,距司马谈1975年，必依赖文献
002,夏本纪,002-006,禹拜让三臣,政治活动,-2083,1973,1983,文献传承,C,距司马谈1973年，必依赖文献
002,夏本纪,002-007,禹治水十三年,建设,-2083,1973,1983,文献传承,C,距司马谈1973年，必依赖文献
002,夏本纪,002-008,禹划定冀州,建设,-2080,1970,1980,文献传承,C,距司马谈1970年，必依赖文献
002,夏本纪,002-009,禹划定沇州,建设,-2080,1970,1980,文献传承,C,距司马谈1970年，必依赖文献
002,夏本纪,002-010,禹划定青州,建设,-2080,1970,1980,文献传承,C,距司马谈1970年，必依赖文献
002,夏本纪,002-011,禹划定徐州,建设,-2080,1970,1980,文献传承,C,距司马谈1970年，必依赖文献
002,夏本纪,002-012,禹划定扬州,建设,-2080,1970,1980,文献传承,C,距司马谈1970年，必依赖文献
002,夏本纪,002-013,禹划定荆州,建设,-2080,1970,1980,文献传承,C,距司马谈1970年，必依赖文献
002,夏本纪,002-014,禹划定豫州,建设,-2080,1970,1980,文献传承,C,距司马谈1970年，必依赖文献
002,夏本纪,002-015,禹划定梁州,建设,-2080,1970,1980,文献传承,C,距司马谈1970年，必依赖文献
002,夏本纪,002-016,禹划定雍州,建设,-2080,1970,1980,文献传承,C,距司马谈1970年，必依赖文献
002,夏本纪,002-017,禹疏导九山,建设,-2080,1970,1980,文献传承,C,距司马谈1970年，必依赖文献
002,夏本纪,002-018,禹疏导九川,建设,-2080,1970,1980,文献传承,C,距司马谈1970年，必依赖文献
002,夏本纪,002-019,禹定五服制度,改革,-2070,1960,1970,文献传承,C,距司马谈1960年，必依赖文献
002,夏本纪,002-020,禹受玄圭太平,政治活动,-2070,1960,1970,文献传承,C,距司马谈1960年，必依赖文献
002,夏本纪,002-021,皋陶禹舜对话,政治活动,-2075,1965,1975,文献传承,C,距司马谈1965年，必依赖文献
002,夏本纪,002-022,夔奏乐凤来仪,文化活动,-2075,1965,1975,文献传承,C,距司马谈1965年，必依赖文献
002,夏本纪,002-023,舜荐禹为嗣,继位,-2087,1977,1987,文献传承,C,距司马谈1977年，必依赖文献
002,夏本纪,002-024,禹让商均于阳城,继位,-2070,1960,1970,文献传承,C,距司马谈1960年，必依赖文献
002,夏本纪,002-025,禹即天子位,继位,-2070,1960,1970,文献传承,C,距司马谈1960年，必依赖文献
002,夏本纪,002-026,禹举皋陶授政,政治活动,-2070,1960,1970,文献传承,C,距司马谈1960年，必依赖文献
002,夏本纪,002-027,皋陶卒举益,政治活动,-2065,1955,1965,文献传承,C,距司马谈1955年，必依赖文献
002,夏本纪,002-028,禹东巡崩会稽,继位,-2061,1951,1961,文献传承,C,距司马谈1951年，必依赖文献
002,夏本纪,002-029,益让启即位,继位,-2058,1948,1958,文献传承,C,距司马谈1948年，必依赖文献
002,夏本纪,002-030,启伐有扈氏,战争,-2050,1940,1950,文献传承,C,距司马谈1940年，必依赖文献
002,夏本纪,002-031,启作甘誓,战争,-2050,1940,1950,文献传承,C,距司马谈1940年，必依赖文献
002,夏本纪,002-032,灭有扈天下朝,战争,-2050,1940,1950,文献传承,C,距司马谈1940年，必依赖文献
002,夏本纪,002-033,启崩太康立,继位,-2000,1890,1900,文献传承,C,距司马谈1890年，必依赖文献
002,夏本纪,002-034,太康失国,政治活动,-1990,1880,1890,文献传承,C,距司马谈1880年，必依赖文献
002,夏本纪,002-035,中康立羲和乱,继位,-1980,1870,1880,文献传承,C,距司马谈1870年，必依赖文献
002,夏本纪,002-036,夏朝中期世系,家族事件,-1850,1740,1750,文献传承,C,距司马谈1740年，必依赖文献
002,夏本纪,002-037,孔甲立德衰,继位,-1700,1590,1600,文献传承,C,距司马谈1590年，必依赖文献
002,夏本纪,002-038,刘累豢龙事件,文化活动,-1690,1580,1590,文献传承,C,距司马谈1580年，必依赖文献
002,夏本纪,002-039,孔甲崩至桀立,继位,-1650,1540,1550,文献传承,C,距司马谈1540年，必依赖文献
002,夏本纪,002-040,桀暴虐囚汤,政治活动,-1610,1500,1510,文献传承,C,距司马谈1500年，必依赖文献
002,夏本纪,002-041,汤修德诸侯归,政治活动,-1605,1495,1505,文献传承,C,距司马谈1495年，必依赖文献
002,夏本纪,002-042,汤伐桀于鸣条,战争,-1600,1490,1500,文献传承,C,距司马谈1490年，必依赖文献
002,夏本纪,002-043,桀走鸣条放死,战争,-1600,1490,1500,文献传承,C,距司马谈1490年，必依赖文献
002,夏本纪,002-044,汤践天子位,继位,-1600,1490,1500,文献传承,C,距司马谈1490年，必依赖文献
002,夏本纪,002-045,周封夏后于杞,政治活动,-1046,936,946,文献传承,C,距司马谈936年，必依赖文献
003,殷本纪,003-001,契佐禹封商,政治活动,-2100,1990,2000,文献传承,C,距司马谈1990年，必依赖文献
003,殷本纪,003-002,先公世系传承,继位,-2100,1990,2000,文献传承,C,距司马谈1990年，必依赖文献
003,殷本纪,003-003,成汤居亳作诰,建设,-1600,1490,1500,文献传承,C,距司马谈1490年，必依赖文献
003,殷本纪,003-004,汤征葛伯,战争,-1617,1507,1517,文献传承,C,距司马谈1507年，必依赖文献
003,殷本纪,003-005,伊尹辅汤,政治活动,-1617,1507,1517,文献传承,C,距司马谈1507年，必依赖文献
003,殷本纪,003-006,网开三面,政治活动,-1610,1500,1510,文献传承,C,距司马谈1500年，必依赖文献
003,殷本纪,003-007,汤伐昆吾桀,战争,-1600,1490,1500,文献传承,C,距司马谈1490年，必依赖文献
003,殷本纪,003-008,桀败鸣条,战争,-1600,1490,1500,文献传承,C,距司马谈1490年，必依赖文献
003,殷本纪,003-009,汤践天子位,继位,-1600,1490,1500,文献传承,C,距司马谈1490年，必依赖文献
003,殷本纪,003-010,汤诰诸侯,政治活动,-1600,1490,1500,文献传承,C,距司马谈1490年，必依赖文献
003,殷本纪,003-011,汤改正朔,政治改革,-1600,1490,1500,文献传承,C,距司马谈1490年，必依赖文献
003,殷本纪,003-012,汤崩诸子立,继位,-1587,1477,1487,文献传承,C,距司马谈1477年，必依赖文献
003,殷本纪,003-013,伊尹立太甲,继位,-1580,1470,1480,文献传承,C,距司马谈1470年，必依赖文献
003,殷本纪,003-014,伊尹放太甲,政治整顿,-1577,1467,1477,文献传承,C,距司马谈1467年，必依赖文献
003,殷本纪,003-015,太甲悔过复位,政治活动,-1574,1464,1474,文献传承,C,距司马谈1464年，必依赖文献
003,殷本纪,003-016,沃丁立伊尹卒,继位,-1560,1450,1460,文献传承,C,距司马谈1450年，必依赖文献
003,殷本纪,003-017,殷道中衰,继位,-1530,1420,1430,文献传承,C,距司马谈1420年，必依赖文献
003,殷本纪,003-018,太戊修德复兴,政治整顿,-1490,1380,1390,文献传承,C,距司马谈1380年，必依赖文献
003,殷本纪,003-019,中丁迁隞诸王,继位,-1430,1320,1330,文献传承,C,距司马谈1320年，必依赖文献
003,殷本纪,003-020,祖乙复兴,政治活动,-1390,1280,1290,文献传承,C,距司马谈1280年，必依赖文献
003,殷本纪,003-021,九世之乱,继位,-1400,1290,1300,文献传承,C,距司马谈1290年，必依赖文献
003,殷本纪,003-022,盘庚迁殷,建设,-1300,1190,1200,文献传承,C,距司马谈1190年，必依赖文献
003,殷本纪,003-023,小辛小乙传承,继位,-1270,1160,1170,文献传承,C,距司马谈1160年，必依赖文献
003,殷本纪,003-024,武丁得傅说,政治活动,-1248,1138,1148,文献传承,C,距司马谈1138年，必依赖文献
003,殷本纪,003-025,武丁修政兴殷,政治整顿,-1240,1130,1140,文献传承,C,距司马谈1130年，必依赖文献
003,殷本纪,003-026,武丁崩祖庚立,继位,-1192,1082,1092,文献传承,C,距司马谈1082年，必依赖文献
003,殷本纪,003-027,祖甲淫乱衰落,继位,-1170,1060,1070,文献传承,C,距司马谈1060年，必依赖文献
003,殷本纪,003-028,殷复迁河北,继位,-1147,1037,1047,文献传承,C,距司马谈1037年，必依赖文献
003,殷本纪,003-029,武乙射天暴死,自然灾害,-1113,1003,1013,文献传承,C,距司马谈1003年，必依赖文献
003,殷本纪,003-030,帝乙立辛嗣,继位,-1080,970,980,文献传承,C,距司马谈970年，必依赖文献
003,殷本纪,003-031,纣王暴政,政治活动,-1075,965,975,文献传承,C,距司马谈965年，必依赖文献
003,殷本纪,003-032,纣杀九侯鄂侯,政治整顿,-1060,950,960,文献传承,C,距司马谈950年，必依赖文献
003,殷本纪,003-033,囚西伯羑里,政治活动,-1060,950,960,文献传承,C,距司马谈950年，必依赖文献
003,殷本纪,003-034,西伯获释,政治活动,-1057,947,957,文献传承,C,距司马谈947年，必依赖文献
003,殷本纪,003-035,西伯归修德,政治活动,-1056,946,956,文献传承,C,距司马谈946年，必依赖文献
003,殷本纪,003-036,祖伊谏纣,政治活动,-1055,945,955,文献传承,C,距司马谈945年，必依赖文献
003,殷本纪,003-037,武王盟津观兵,战争,-1048,938,948,文献传承,C,距司马谈938年，必依赖文献
003,殷本纪,003-038,比干强谏被杀,政治活动,-1047,937,947,文献传承,C,距司马谈937年，必依赖文献
003,殷本纪,003-039,箕子佯狂被囚,政治活动,-1047,937,947,文献传承,C,距司马谈937年，必依赖文献
003,殷本纪,003-040,牧野之战,战争,-1046,936,946,文献传承,C,距司马谈936年，必依赖文献
003,殷本纪,003-041,武王封殷后,政治活动,-1046,936,946,文献传承,C,距司马谈936年，必依赖文献
003,殷本纪,003-042,武庚叛乱平定,战争,-1041,931,941,文献传承,C,距司马谈931年，必依赖文献
004,周本纪,004-001,后稷诞生弃养,家族事件,-2402,2292,2302,文献传承,C,距司马谈2292年，必依赖文献
004,周本纪,004-002,弃为农师受封,政治活动,-2100,1990,2000,文献传承,C,距司马谈1990年，必依赖文献
004,周本纪,004-003,早期世系传承,继位,-1600,1490,1500,文献传承,C,距司马谈1490年，必依赖文献
004,周本纪,004-004,公刘复业兴周,政治改革,-1600,1490,1500,文献传承,C,距司马谈1490年，必依赖文献
004,周本纪,004-005,庆节至古公世系,继位,-1500,1390,1400,文献传承,C,距司马谈1390年，必依赖文献
004,周本纪,004-006,古公迁岐建邑,建设,-1200,1090,1100,文献传承,C,距司马谈1090年，必依赖文献
004,周本纪,004-007,太伯让位季历,家族事件,-1200,1090,1100,文献传承,C,距司马谈1090年，必依赖文献
004,周本纪,004-008,公季至文王继立,继位,-1100,990,1000,文献传承,C,距司马谈990年，必依赖文献
004,周本纪,004-009,文王招贤纳士,政治活动,-1080,970,980,文献传承,C,距司马谈970年，必依赖文献
004,周本纪,004-010,羑里之囚,政治活动,-1080,970,980,文献传承,C,距司马谈970年，必依赖文献
004,周本纪,004-011,虞芮之讼,政治活动,-1060,950,960,文献传承,C,距司马谈950年，必依赖文献
004,周本纪,004-012,文王征伐诸国,战争,-1060,950,960,文献传承,C,距司马谈950年，必依赖文献
004,周本纪,004-013,文王崩武王立,继位,-1056,946,956,文献传承,C,距司马谈946年，必依赖文献
004,周本纪,004-014,文王演易受命,文化活动,-1080,970,980,文献传承,C,距司马谈970年，必依赖文献
004,周本纪,004-015,武王观兵盟津,战争,-1048,938,948,文献传承,C,距司马谈938年，必依赖文献
004,周本纪,004-016,牧野之战,战争,-1046,936,946,文献传承,C,距司马谈936年，必依赖文献
004,周本纪,004-017,纣王自焚身亡,战争,-1046,936,946,文献传承,C,距司马谈936年，必依赖文献
004,周本纪,004-018,武王祭社告天,政治活动,-1046,936,946,文献传承,C,距司马谈936年，必依赖文献
004,周本纪,004-019,封建诸侯分土,政治改革,-1046,936,946,文献传承,C,距司马谈936年，必依赖文献
004,周本纪,004-020,营建洛邑,建设,-1045,935,945,文献传承,C,距司马谈935年，必依赖文献
004,周本纪,004-021,武王问箕子,政治活动,-1044,934,944,文献传承,C,距司马谈934年，必依赖文献
004,周本纪,004-022,武王崩成王立,继位,-1043,933,943,文献传承,C,距司马谈933年，必依赖文献
004,周本纪,004-023,周公摄政平乱,政治整顿,-1036,926,936,文献传承,C,距司马谈926年，必依赖文献
004,周本纪,004-024,成王营洛定鼎,建设,-1036,926,936,文献传承,C,距司马谈926年，必依赖文献
004,周本纪,004-025,成王伐东夷,战争,-1035,925,935,文献传承,C,距司马谈925年，必依赖文献
004,周本纪,004-026,兴正礼乐,文化活动,-1030,920,930,文献传承,C,距司马谈920年，必依赖文献
004,周本纪,004-027,成王崩康王立,继位,-1021,911,921,文献传承,C,距司马谈911年，必依赖文献
004,周本纪,004-028,成康之治,政治活动,-1042,932,942,文献传承,C,距司马谈932年，必依赖文献
004,周本纪,004-029,昭王南巡不返,继位,-977,867,877,文献传承,C,距司马谈867年，必依赖文献
004,周本纪,004-030,穆王征犬戎,战争,-960,850,860,文献传承,C,距司马谈850年，必依赖文献
004,周本纪,004-031,穆王制甫刑,改革,-950,840,850,文献传承,C,距司马谈840年，必依赖文献
004,周本纪,004-032,穆王至懿王世系,继位,-922,812,822,文献传承,C,距司马谈812年，必依赖文献
004,周本纪,004-033,共王灭密,战争,-921,811,821,文献传承,C,距司马谈811年，必依赖文献
004,周本纪,004-034,懿王至夷王世系,继位,-899,789,799,文献传承,C,距司马谈789年，必依赖文献
004,周本纪,004-035,厉王暴政专利,政治活动,-848,738,748,文献传承,C,距司马谈738年，必依赖文献
004,周本纪,004-036,国人暴动,政治整顿,-841,731,741,文献传承,C,距司马谈731年，必依赖文献
004,周本纪,004-037,召公藏太子,家族事件,-841,731,741,文献传承,C,距司马谈731年，必依赖文献
004,周本纪,004-038,共和行政,政治改革,-828,718,728,文献传承,C,距司马谈718年，必依赖文献
004,周本纪,004-039,宣王即位中兴,继位,-827,717,727,文献传承,C,距司马谈717年，必依赖文献
004,周本纪,004-040,千亩之战,战争,-789,679,689,文献传承,C,距司马谈679年，必依赖文献
004,周本纪,004-041,宣王料民太原,政治活动,-789,679,689,文献传承,C,距司马谈679年，必依赖文献
004,周本纪,004-042,三川地震岐崩,自然灾害,-780,670,680,文献传承,C,距司马谈670年，必依赖文献
004,周本纪,004-043,幽王废嫡立庶,家族事件,-779,669,679,文献传承,C,距司马谈669年，必依赖文献
004,周本纪,004-044,烽火戏诸侯,政治活动,-779,669,679,文献传承,C,距司马谈669年，必依赖文献
004,周本纪,004-045,犬戎灭西周,战争,-771,661,671,文献传承,C,距司马谈661年，必依赖文献
004,周本纪,004-046,平王东迁,政治活动,-770,660,670,文献传承,C,距司马谈660年，必依赖文献
004,周本纪,004-047,桓王伐郑受伤,战争,-707,597,607,文献传承,C,距司马谈597年，必依赖文献
004,周本纪,004-048,庄王诛周公黑肩,政治整顿,-694,584,594,文献传承,C,距司马谈584年，必依赖文献
004,周本纪,004-049,齐桓公始霸,政治活动,-679,569,579,文献传承,C,距司马谈569年，必依赖文献
004,周本纪,004-050,惠王之乱,政治整顿,-675,565,575,文献传承,C,距司马谈565年，必依赖文献
004,周本纪,004-051,惠王赐齐桓公伯,政治活动,-667,557,567,文献传承,C,距司马谈557年，必依赖文献
004,周本纪,004-052,襄王避叔带之乱,政治整顿,-649,539,549,文献传承,C,距司马谈539年，必依赖文献
004,周本纪,004-053,晋文公召王河阳,政治活动,-632,522,532,文献传承,C,距司马谈522年，必依赖文献
004,周本纪,004-054,襄王至定王世系,继位,-619,509,519,文献传承,C,距司马谈509年，必依赖文献
004,周本纪,004-055,楚庄王问鼎,政治活动,-606,496,506,文献传承,C,距司马谈496年，必依赖文献
004,周本纪,004-056,楚庄王围郑,战争,-597,487,497,文献传承,C,距司马谈487年，必依赖文献
004,周本纪,004-057,简王至灵王世系,继位,-585,475,485,文献传承,C,距司马谈475年，必依赖文献
004,周本纪,004-058,景王立嗣之争,政治整顿,-525,415,425,文献传承,C,距司马谈415年，必依赖文献
004,周本纪,004-059,敬王入周之争,政治整顿,-519,409,419,文献传承,C,距司马谈409年，必依赖文献
004,周本纪,004-060,田常弑齐简公,政治整顿,-481,371,381,文献传承,C,上古史料，依据《尚书》《春秋》等
004,周本纪,004-061,楚灭陈孔子卒,战争,-479,369,379,文献传承,C,上古史料，依据《尚书》《春秋》等
004,周本纪,004-062,三晋灭智伯,战争,-453,343,353,文献传承,C,上古史料，依据《尚书》《春秋》等
004,周本纪,004-063,哀王思王相杀,继位,-441,331,341,文献传承,C,上古史料，依据《尚书》《春秋》等
004,周本纪,004-064,考王封弟河南,政治改革,-440,330,340,文献传承,C,上古史料，依据《尚书》《春秋》等
004,周本纪,004-065,威烈王命三晋,政治活动,-403,293,303,文献传承,C,上古史料，依据《尚书》《春秋》等
004,周本纪,004-066,太史儋预言秦兴,文化活动,-374,264,274,文献传承,C,上古史料，依据《尚书》《春秋》等
004,周本纪,004-067,显王贺秦称伯,政治活动,-364,254,264,文献传承,C,上古史料，依据《尚书》《春秋》等
004,周本纪,004-068,赧王时东西周分治,政治活动,-314,204,214,文献传承,C,上古史料，依据《尚书》《春秋》等
004,周本纪,004-069,西周立嗣之谋,政治活动,-310,200,210,文献传承,C,上古史料，依据《尚书》《春秋》等
004,周本纪,004-070,秦借道伐韩之策,政治活动,-307,197,207,文献传承,C,上古史料，依据《尚书》《春秋》等
004,周本纪,004-071,东周西周交战,战争,-300,190,200,文献传承,C,上古史料，依据《尚书》《春秋》等
004,周本纪,004-072,苏代为周解韩困,政治活动,-312,202,212,文献传承,C,上古史料，依据《尚书》《春秋》等
004,周本纪,004-073,苏厉说白起,政治活动,-281,171,181,文献传承,C,上古史料，依据《尚书》《春秋》等
004,周本纪,004-074,马犯使梁城周,政治活动,-273,163,173,文献传承,C,上古史料，依据《尚书》《春秋》等
004,周本纪,004-075,三晋拒秦之策,政治活动,-257,147,157,文献传承,C,上古史料，依据《尚书》《春秋》等
004,周本纪,004-076,秦灭西周,战争,-256,146,156,文献传承,C,上古史料，依据《尚书》《春秋》等
004,周本纪,004-077,周亡秦取九鼎,战争,-249,139,149,文献传承,C,上古史料，依据《尚书》《春秋》等
004,周本纪,004-078,汉封周后嘉,政治活动,-110,0,10,文献传承,C,上古史料，依据《尚书》《春秋》等
005,秦本纪,005-001,秦先祖起源,家族事件,,,,文献传承,C,上古史料，依据《尚书》《春秋》等
005,秦本纪,005-002,秦早期世系与费昌归商,家族事件,,,,文献传承,C,上古史料，依据《尚书》《春秋》等
005,秦本纪,005-003,恶来事纣与蜚廉之死,家族事件,,,,文献传承,C,上古史料，依据《尚书》《春秋》等
005,秦本纪,005-004,造父御缪王平徐偃王之乱,战争,,,,文献传承,C,上古史料，依据《尚书》《春秋》等
005,秦本纪,005-005,非子封秦附庸,政治活动,,,,文献传承,C,上古史料，依据《尚书》《春秋》等
005,秦本纪,005-006,秦侯至公伯世系传承,继位,,,,文献传承,C,上古史料，依据《尚书》《春秋》等
005,秦本纪,005-007,秦仲伐戎战死,战争,-822,712,722,文献传承,C,距司马谈712年，必依赖文献
005,秦本纪,005-008,庄公昆弟破西戎,战争,-821,711,721,文献传承,C,距司马谈711年，必依赖文献
005,秦本纪,005-009,庄公卒襄公继立,继位,-778,668,678,文献传承,C,距司马谈668年，必依赖文献
005,秦本纪,005-010,襄公救周抗戎,战争,-771,661,671,文献传承,C,距司马谈661年，必依赖文献
005,秦本纪,005-011,襄公受封建国,政治活动,-766,656,666,文献传承,C,距司马谈656年，必依赖文献
005,秦本纪,005-012,文公东迁营邑,建设,-765,655,665,文献传承,C,距司马谈655年，必依赖文献
